"s [mm]","w [mm]","w2 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
5,0.2,0.2,3,-2.40824050672106
5,0.2,0.2,3.1,-2.58534446116946
5,0.2,0.2,3.2,-2.77257098089558
5,0.2,0.2,3.3,-2.97102375639043
5,0.2,0.2,3.4,-3.18203728712017
5,0.2,0.2,3.5,-3.40723282522255
5,0.2,0.2,3.6,-3.64859181460174
5,0.2,0.2,3.7,-3.90855355760171
5,0.2,0.2,3.8,-4.19014698362658
5,0.2,0.2,3.9,-4.49717131503848
5,0.2,0.2,4,-4.83444833076377
5,0.2,0.2,4.1,-5.2081820029453
5,0.2,0.2,4.2,-5.62648364860829
5,0.2,0.2,4.3,-6.10016052918908
5,0.2,0.2,4.4,-6.64393995849569
5,0.2,0.2,4.5,-7.27844687165184
5,0.2,0.2,4.6,-8.03355970218573
5,0.2,0.2,4.7,-8.95447040611282
5,0.2,0.2,4.8,-10.1135523516288
5,0.2,0.2,4.9,-11.6363171007382
5,0.2,0.2,5,-13.7680285032627
5,0.2,0.2,5.1,-17.0944987029206
5,0.2,0.2,5.2,-23.7583092093022
5,0.2,0.2,5.3,-32.4557809945333
5,0.2,0.2,5.4,-18.251205834066
5,0.2,0.2,5.5,-12.5635872993053
5,0.2,0.2,5.6,-8.85539095867735
5,0.2,0.2,5.7,-6.13047184078918
5,0.2,0.2,5.8,-4.07256653203142
5,0.2,0.2,5.9,-2.55015646419219
5,0.2,0.2,6,-1.48247390671802
5,0.2,0.2,6.1,-0.791970350706064
5,0.2,0.2,6.2,-0.395605742643924
5,0.2,0.2,6.3,-0.213378607144314
5,0.2,0.2,6.4,-0.17790461464188
5,0.2,0.2,6.5,-0.23819610050551
5,0.2,0.2,6.6,-0.358428930262532
5,0.2,0.2,6.7,-0.514607791318567
5,0.2,0.2,6.8,-0.691136186998832
5,0.2,0.2,6.9,-0.878075265966386
5,0.2,0.2,7,-1.06918931458368
5,0.2,0.2,7.1,-1.26063033193458
5,0.2,0.2,7.2,-1.45007829238354
5,0.2,0.2,7.3,-1.63618693039503
5,0.2,0.2,7.4,-1.81822831508408
5,0.2,0.2,7.5,-1.995865038802
5,0.2,0.2,7.6,-2.16900397484521
5,0.2,0.2,7.7,-2.33770221271673
5,0.2,0.2,7.8,-2.50210648528692
5,0.2,0.2,7.9,-2.66241419381701
5,0.2,0.2,8,-2.81884842822145
5,0.2,0.2,8.1,-2.97164209524501
5,0.2,0.2,8.2,-3.12102799287755
5,0.2,0.2,8.3,-3.26723277273893
5,0.2,0.2,8.4,-3.41047344261183
5,0.2,0.2,8.5,-3.55095552203523
5,0.2,0.2,8.6,-3.68887226478777
5,0.2,0.2,8.7,-3.82440455994675
5,0.2,0.2,8.8,-3.95772125409552
5,0.2,0.2,8.9,-4.08897972430359
5,0.2,0.2,9,-4.21832658965486
5,0.2,0.2,9.1,-4.34589848807785
5,0.2,0.2,9.2,-4.47182287141546
5,0.2,0.2,9.3,-4.59621878927608
5,0.2,0.2,9.4,-4.71919764403891
