"s [mm]","w [mm]","w2 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
4,0.2,0.2,3,-1.64760385837177
4,0.2,0.2,3.1,-1.76146061968196
4,0.2,0.2,3.2,-1.87994161108536
4,0.2,0.2,3.3,-2.00325690476674
4,0.2,0.2,3.4,-2.13164883456075
4,0.2,0.2,3.5,-2.2653965839346
4,0.2,0.2,3.6,-2.40482156961696
4,0.2,0.2,3.7,-2.55029379529227
4,0.2,0.2,3.8,-2.70223939407543
4,0.2,0.2,3.9,-2.86114963591906
4,0.2,0.2,4,-3.02759175120936
4,0.2,0.2,4.1,-3.20222202088589
4,0.2,0.2,4.2,-3.38580171537914
4,0.2,0.2,4.3,-3.57921664221298
4,0.2,0.2,4.4,-3.78350130366964
4,0.2,0.2,4.5,-3.9998689984817
4,0.2,0.2,4.6,-4.22974966538498
4,0.2,0.2,4.7,-4.47483792263944
4,0.2,0.2,4.8,-4.73715470070136
4,0.2,0.2,4.9,-5.01912724394881
4,0.2,0.2,5,-5.32369431173906
4,0.2,0.2,5.1,-5.65444653588034
4,0.2,0.2,5.2,-6.01581676517842
4,0.2,0.2,5.3,-6.41334303029307
4,0.2,0.2,5.4,-6.85403964015872
4,0.2,0.2,5.5,-7.34693392994625
4,0.2,0.2,5.6,-7.90386533926133
4,0.2,0.2,5.7,-8.54071652803281
4,0.2,0.2,5.8,-9.27939023444811
4,0.2,0.2,5.9,-10.1511492084987
4,0.2,0.2,6,-11.2026318491178
4,0.2,0.2,6.1,-12.5076236058076
4,0.2,0.2,6.2,-14.1928189454233
4,0.2,0.2,6.3,-16.5040204499602
4,0.2,0.2,6.4,-20.0256277910408
4,0.2,0.2,6.5,-26.8811706265166
4,0.2,0.2,6.6,-35.437474424146
4,0.2,0.2,6.7,-21.7944765708438
4,0.2,0.2,6.8,-16.3156298653353
4,0.2,0.2,6.9,-12.7533497488489
4,0.2,0.2,7,-10.0825987180391
4,0.2,0.2,7.1,-7.94939695216172
4,0.2,0.2,7.2,-6.19588235662263
4,0.2,0.2,7.3,-4.74223296778154
4,0.2,0.2,7.4,-3.54406944576067
4,0.2,0.2,7.5,-2.57290053108416
4,0.2,0.2,7.6,-1.80585406944812
4,0.2,0.2,7.7,-1.22047625865465
4,0.2,0.2,7.8,-0.792940679408099
4,0.2,0.2,7.9,-0.498457848073682
4,0.2,0.2,8,-0.31269628786203
4,0.2,0.2,8.1,-0.213249608650733
4,0.2,0.2,8.2,-0.180619526901912
4,0.2,0.2,8.3,-0.198600434682429
4,0.2,0.2,8.4,-0.254193100290361
4,0.2,0.2,8.5,-0.337243600317042
4,0.2,0.2,8.6,-0.439973555966006
4,0.2,0.2,8.7,-0.556508290824361
4,0.2,0.2,8.8,-0.682457058419213
4,0.2,0.2,8.9,-0.814564539558136
4,0.2,0.2,9,-0.950433576925297
4,0.2,0.2,9.1,-1.08831047937104
4,0.2,0.2,9.2,-1.22692162512218
4,0.2,0.2,9.3,-1.36535044720596
4,0.2,0.2,9.4,-1.50294542109059
4,0.2,0.2,9.5,-1.63925148625289
4,0.2,0.2,9.6,-1.77395901483362
4,0.2,0.2,9.7,-1.90686584925755
4,0.2,0.2,9.8,-2.03784904832178
4,0.2,0.2,9.9,-2.16684384017141
4,0.2,0.2,10,-2.29382792807171
4,0.2,0.3,3,-1.64781799727974
4,0.2,0.3,3.1,-1.76391192574338
4,0.2,0.3,3.2,-1.88498801025009
4,0.2,0.3,3.3,-2.01128308478044
4,0.2,0.3,3.4,-2.14306721966513
4,0.2,0.3,3.5,-2.28064833021455
4,0.2,0.3,3.6,-2.42437756118436
4,0.2,0.3,3.7,-2.57465561108782
4,0.2,0.3,3.8,-2.73194020085752
4,0.2,0.3,3.9,-2.89675494354362
4,0.2,0.3,4,-3.06969993954423
4,0.2,0.3,4.1,-3.25146451074698
4,0.2,0.3,4.2,-3.44284260456704
4,0.2,0.3,4.3,-3.6447515560472
4,0.2,0.3,4.4,-3.85825510855093
4,0.2,0.3,4.5,-4.08459188389404
4,0.2,0.3,4.6,-4.32521089473833
4,0.2,0.3,4.7,-4.58181625647443
4,0.2,0.3,4.8,-4.85642406047226
4,0.2,0.3,4.9,-5.15143553716957
4,0.2,0.3,5,-5.46973236047522
4,0.2,0.3,5.1,-5.81480254269974
4,0.2,0.3,5.2,-6.19090937675967
4,0.2,0.3,5.3,-6.60332222620515
4,0.2,0.3,5.4,-7.05863830217311
4,0.2,0.3,5.5,-7.56524198243014
4,0.2,0.3,5.6,-8.13397870298866
4,0.2,0.3,5.7,-8.77917618399116
4,0.2,0.3,5.8,-9.52025308948531
4,0.2,0.3,5.9,-10.3843751442839
4,0.2,0.3,6,-11.4111045787163
4,0.2,0.3,6.1,-12.6611679812519
4,0.2,0.3,6.2,-14.2346999963166
4,0.2,0.3,6.3,-16.3147725743185
4,0.2,0.3,6.4,-19.2950887838467
4,0.2,0.3,6.5,-24.3182412238002
4,0.2,0.3,6.6,-39.0914146143559
4,0.2,0.3,6.7,-26.6739559804883
4,0.2,0.3,6.8,-19.5633757061366
4,0.2,0.3,6.9,-15.492841211806
4,0.2,0.3,7,-12.5906771088441
4,0.2,0.3,7.1,-10.3224453354311
4,0.2,0.3,7.2,-8.46378959803175
4,0.2,0.3,7.3,-6.90196295791473
4,0.2,0.3,7.4,-5.57418486484015
4,0.2,0.3,7.5,-4.4428613098135
4,0.2,0.3,7.6,-3.48368774783364
4,0.2,0.3,7.7,-2.67917027347431
4,0.2,0.3,7.8,-2.01487266826142
4,0.2,0.3,7.9,-1.47731326298222
4,0.2,0.3,8,-1.05299363281911
4,0.2,0.3,8.1,-0.728203808241205
4,0.2,0.3,8.2,-0.489289064275463
4,0.2,0.3,8.3,-0.323103669803246
4,0.2,0.3,8.4,-0.217450478044087
4,0.2,0.3,8.5,-0.161395388533368
4,0.2,0.3,8.6,-0.145424220431997
4,0.2,0.3,8.7,-0.161459947710196
4,0.2,0.3,8.8,-0.202780093373369
4,0.2,0.3,8.9,-0.263876007471308
4,0.2,0.3,9,-0.340287749529495
4,0.2,0.3,9.1,-0.428437608851377
4,0.2,0.3,9.2,-0.525475760028555
4,0.2,0.3,9.3,-0.629144502808618
4,0.2,0.3,9.4,-0.73766296351937
4,0.2,0.3,9.5,-0.849631505363986
4,0.2,0.3,9.6,-0.963953796174631
4,0.2,0.3,9.7,-1.07977400851069
4,0.2,0.3,9.8,-1.19642661763839
4,0.2,0.3,9.9,-1.31339648478465
4,0.2,0.3,10,-1.4302872267717
4,0.2,0.4,3,-1.6668784843947
4,0.2,0.4,3.1,-1.7858468961974
4,0.2,0.4,3.2,-1.91009691721105
4,0.2,0.4,3.3,-2.03988407146546
4,0.2,0.4,3.4,-2.17549751989119
4,0.2,0.4,3.5,-2.31726462089399
4,0.2,0.4,3.6,-2.46555623861272
4,0.2,0.4,3.7,-2.62079295211736
4,0.2,0.4,3.8,-2.78345235587407
4,0.2,0.4,3.9,-2.95407768935833
4,0.2,0.4,4,-3.13328809520348
4,0.2,0.4,4.1,-3.32179088552114
4,0.2,0.4,4.2,-3.52039630171123
4,0.2,0.4,4.3,-3.73003539364612
4,0.2,0.4,4.4,-3.951781833098
4,0.2,0.4,4.5,-4.18687873332289
4,0.2,0.4,4.6,-4.43677190075472
4,0.2,0.4,4.7,-4.70315143912548
4,0.2,0.4,4.8,-4.9880043270326
4,0.2,0.4,4.9,-5.2936815995764
4,0.2,0.4,5,-5.62298524587053
4,0.2,0.4,5.1,-5.97928215108815
4,0.2,0.4,5.2,-6.36665580409639
4,0.2,0.4,5.3,-6.79011181331823
4,0.2,0.4,5.4,-7.25586185737191
4,0.2,0.4,5.5,-7.77172498749492
4,0.2,0.4,5.6,-8.34770986372937
4,0.2,0.4,5.7,-8.99688588905217
4,0.2,0.4,5.8,-9.7367350518002
4,0.2,0.4,5.9,-10.5913441062358
4,0.2,0.4,6,-11.5951568968416
4,0.2,0.4,6.1,-12.7998493583401
4,0.2,0.4,6.2,-14.2880911505087
4,0.2,0.4,6.3,-16.2046172957918
4,0.2,0.4,6.4,-18.8398445734864
4,0.2,0.4,6.5,-22.9299367792086
4,0.2,0.4,6.6,-31.6511556033686
4,0.2,0.4,6.7,-32.6110118727342
4,0.2,0.4,6.8,-22.6114358933674
4,0.2,0.4,6.9,-17.868880927484
4,0.2,0.4,7,-14.6875987010026
4,0.2,0.4,7.1,-12.2731044109234
4,0.2,0.4,7.2,-10.3226013530157
4,0.2,0.4,7.3,-8.68984250298393
4,0.2,0.4,7.4,-7.29430307548447
4,0.2,0.4,7.5,-6.08782497165148
4,0.2,0.4,7.6,-5.03982387782932
4,0.2,0.4,7.7,-4.12977564644546
4,0.2,0.4,7.8,-3.34298828981906
4,0.2,0.4,7.9,-2.66805215786871
4,0.2,0.4,8,-2.09526206981226
4,0.2,0.4,8.1,-1.61567297388649
4,0.2,0.4,8.2,-1.22060090779454
4,0.2,0.4,8.3,-0.901438207713166
4,0.2,0.4,8.4,-0.649673978180652
4,0.2,0.4,8.5,-0.457026011730499
4,0.2,0.4,8.6,-0.315609467334886
4,0.2,0.4,8.7,-0.218090983555628
4,0.2,0.4,8.8,-0.157800254694992
4,0.2,0.4,8.9,-0.128790157744736
4,0.2,0.4,9,-0.125849186211209
4,0.2,0.4,9.1,-0.144476409829191
4,0.2,0.4,9.2,-0.180830966377508
4,0.2,0.4,9.3,-0.231667058850481
4,0.2,0.4,9.4,-0.294263126842993
4,0.2,0.4,9.5,-0.366351309938151
4,0.2,0.4,9.6,-0.446051066977424
4,0.2,0.4,9.7,-0.531809063666275
4,0.2,0.4,9.8,-0.622346202260597
4,0.2,0.4,9.9,-0.716611861796423
4,0.2,0.4,10,-0.81374494054051
4,0.2,0.5,3,-1.7790660344053
4,0.2,0.5,3.1,-1.90698836141267
4,0.2,0.5,3.2,-2.04070036732767
4,0.2,0.5,3.3,-2.18048676899225
4,0.2,0.5,3.4,-2.32666863357992
4,0.2,0.5,3.5,-2.47960820762377
4,0.2,0.5,3.6,-2.63971452972378
4,0.2,0.5,3.7,-2.80744998687567
4,0.2,0.5,3.8,-2.98333801294053
4,0.2,0.5,3.9,-3.1679721773211
4,0.2,0.5,4,-3.3620269760806
4,0.2,0.5,4.1,-3.56627072159345
4,0.2,0.5,4.2,-3.78158103744073
4,0.2,0.5,4.3,-4.00896361270439
4,0.2,0.5,4.4,-4.24957506850415
4,0.2,0.5,4.5,-4.50475106058333
4,0.2,0.5,4.6,-4.77604111607307
4,0.2,0.5,4.7,-5.06525222699335
4,0.2,0.5,4.8,-5.37450396912005
4,0.2,0.5,4.9,-5.70629899420506
4,0.2,0.5,5,-6.06361433416698
4,0.2,0.5,5.1,-6.45002134827542
4,0.2,0.5,5.2,-6.86984582516237
4,0.2,0.5,5.3,-7.3283855598283
4,0.2,0.5,5.4,-7.83221215632564
4,0.2,0.5,5.5,-8.38959962125342
4,0.2,0.5,5.6,-9.01114983247952
4,0.2,0.5,5.7,-9.71073494888391
4,0.2,0.5,5.8,-10.5069722752174
4,0.2,0.5,5.9,-11.4256405923703
4,0.2,0.5,6,-12.5038687305709
4,0.2,0.5,6.1,-13.7979333139769
4,0.2,0.5,6.2,-15.3991980779698
4,0.2,0.5,6.3,-17.4711686117407
4,0.2,0.5,6.4,-20.3537603328172
4,0.2,0.5,6.5,-24.9690181117164
