"s [mm]","w [mm]","w2 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
6,0.2,0.2,3,-3.10200538917713
6,0.2,0.2,3.1,-3.37129952678672
6,0.2,0.2,3.2,-3.66818627842307
6,0.2,0.2,3.3,-3.99872559025888
6,0.2,0.2,3.4,-4.37105974851388
6,0.2,0.2,3.5,-4.7963626264624
6,0.2,0.2,3.6,-5.29036342380248
6,0.2,0.2,3.7,-5.87590156862937
6,0.2,0.2,3.8,-6.58744805398348
6,0.2,0.2,3.9,-7.47967790243474
6,0.2,0.2,4,-8.64528818791044
6,0.2,0.2,4.1,-10.2571589397681
6,0.2,0.2,4.2,-12.6900310109193
6,0.2,0.2,4.3,-17.0198705420558
6,0.2,0.2,4.4,-30.349365556131
6,0.2,0.2,4.5,-19.2868676412333
6,0.2,0.2,4.6,-11.317948833788
6,0.2,0.2,4.7,-6.83468641185106
6,0.2,0.2,4.8,-3.88139146127194
6,0.2,0.2,4.9,-1.9795197981966
6,0.2,0.2,5,-0.877435221973945
6,0.2,0.2,5.1,-0.341770099884228
6,0.2,0.2,5.2,-0.164165697781339
6,0.2,0.2,5.3,-0.192175750395647
6,0.2,0.2,5.4,-0.329980486468523
6,0.2,0.2,5.5,-0.522454936426537
6,0.2,0.2,5.6,-0.739333040462481
6,0.2,0.2,5.7,-0.964440907214116
6,0.2,0.2,5.8,-1.18934911334283
6,0.2,0.2,5.9,-1.40983801475774
6,0.2,0.2,6,-1.62396692912663
6,0.2,0.2,6.1,-1.83102168351996
6,0.2,0.2,6.2,-2.03093834307418
6,0.2,0.2,6.3,-2.22398597688321
6,0.2,0.2,6.4,-2.41059161695466
6,0.2,0.2,6.5,-2.59124408548942
6,0.2,0.2,6.6,-2.76644196974427
6,0.2,0.2,6.7,-2.93666646015484
6,0.2,0.2,6.8,-3.10236820827382
6,0.2,0.2,6.9,-3.26396204282192
6,0.2,0.2,7,-3.42182601519427
6,0.2,0.2,7.1,-3.57630274550924
6,0.2,0.2,7.2,-3.72770190385517
6,0.2,0.2,7.3,-3.87630316289952
6,0.2,0.2,7.4,-4.02235925091493
6,0.2,0.2,7.5,-4.16609890566418
6,0.2,0.2,7.6,-4.30772962959659
6,0.2,0.2,7.7,-4.44744020462684
6,0.2,0.2,7.8,-4.58540295756703
6,0.2,0.2,7.9,-4.72177578526619
6,0.2,0.2,8,-4.85670395778424
6,0.2,0.2,8.1,-4.99032172217808
6,0.2,0.2,8.2,-5.12275373095684
6,0.2,0.2,8.3,-5.25411631937801
6,0.2,0.2,8.4,-5.38451865544263
6,0.2,0.2,8.5,-5.51406378641814
6,0.2,0.2,8.6,-5.64284960667932
6,0.2,0.2,8.7,-5.77096977454968
