"s [mm]","w [mm]","w2 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
5.5,0.2,0.2,3,-2.64854605948598
5.5,0.2,0.2,3.1,-2.85758337926521
5.5,0.2,0.2,3.2,-3.08227955048898
5.5,0.2,0.2,3.3,-3.32506020652392
5.5,0.2,0.2,3.4,-3.58898275783442
5.5,0.2,0.2,3.5,-3.87794311256541
5.5,0.2,0.2,3.6,-4.196969625329
5.5,0.2,0.2,3.7,-4.55265066387097
5.5,0.2,0.2,3.8,-4.9537729693305
5.5,0.2,0.2,3.9,-5.41230421703038
5.5,0.2,0.2,4,-5.94496111705592
5.5,0.2,0.2,4.1,-6.5758243289332
5.5,0.2,0.2,4.2,-7.34094382755695
5.5,0.2,0.2,4.3,-8.29703906055712
5.5,0.2,0.2,4.4,-9.53954969630493
5.5,0.2,0.2,4.5,-11.2453805295225
5.5,0.2,0.2,4.6,-13.7967903294695
5.5,0.2,0.2,4.7,-18.2945710615058
5.5,0.2,0.2,4.8,-32.1321654334156
5.5,0.2,0.2,4.9,-20.4410596750211
5.5,0.2,0.2,5,-12.6945827323549
5.5,0.2,0.2,5.1,-8.26773470262829
5.5,0.2,0.2,5.2,-5.23150775544151
5.5,0.2,0.2,5.3,-3.10361770339892
5.5,0.2,0.2,5.4,-1.68336089834401
5.5,0.2,0.2,5.5,-0.820645308294786
5.5,0.2,0.2,5.6,-0.368072120671979
5.5,0.2,0.2,5.7,-0.192339839863044
5.5,0.2,0.2,5.8,-0.189989960933582
5.5,0.2,0.2,5.9,-0.289952180987066
5.5,0.2,0.2,6,-0.447141714047092
5.5,0.2,0.2,6.1,-0.634281611465076
5.5,0.2,0.2,6.2,-0.835327339911415
5.5,0.2,0.2,6.3,-1.04103035667848
5.5,0.2,0.2,6.4,-1.24617553102594
5.5,0.2,0.2,6.5,-1.44792211212636
5.5,0.2,0.2,6.6,-1.64482132661137
5.5,0.2,0.2,6.7,-1.83623632794904
5.5,0.2,0.2,6.8,-2.0219989761045
5.5,0.2,0.2,6.9,-2.20220603975299
5.5,0.2,0.2,7,-2.37709790032448
5.5,0.2,0.2,7.1,-2.5469864235411
5.5,0.2,0.2,7.2,-2.71221234383309
5.5,0.2,0.2,7.3,-2.87312046999151
5.5,0.2,0.2,7.4,-3.03004569194508
5.5,0.2,0.2,7.5,-3.18330553598337
5.5,0.2,0.2,7.6,-3.33319667234413
5.5,0.2,0.2,7.7,-3.47999378094924
5.5,0.2,0.2,7.8,-3.62394979280704
5.5,0.2,0.2,7.9,-3.76529690130695
5.5,0.2,0.2,8,-3.90424797126769
5.5,0.2,0.2,8.1,-4.04099811928483
5.5,0.2,0.2,8.2,-4.1757263300704
5.5,0.2,0.2,8.3,-4.30859703055005
5.5,0.2,0.2,8.4,-4.43976157913791
5.5,0.2,0.2,8.5,-4.56935964974624
5.5,0.2,0.2,8.6,-4.69752050367668
5.5,0.2,0.2,8.7,-4.82436415073926
5.5,0.2,0.2,8.8,-4.95000240577436
5.5,0.2,0.2,8.9,-5.07453984952236
5.5,0.2,0.2,9,-5.19807470436842
5.5,0.2,0.2,9.1,-5.32069963649342
5.5,0.2,0.2,9.2,-5.44250249686482
5.5,0.2,0.2,9.3,-5.56356701474868
5.5,0.2,0.2,9.4,-5.68397345956366
5.5,0.2,0.2,9.5,-5.80379929073986
5.5,0.2,0.2,9.6,-5.92311982218791
5.5,0.2,0.2,9.7,-6.04200894064022
5.5,0.2,0.2,9.8,-6.16053994067914
5.5,0.2,0.2,9.9,-6.27878658458416
5.5,0.2,0.2,10,-6.39682458636595
5.5,0.2,0.3,3,-2.73327280638925
5.5,0.2,0.3,3.1,-2.95366891972743
5.5,0.2,0.3,3.2,-3.19082519827098
5.5,0.2,0.3,3.3,-3.44720693225578
5.5,0.2,0.3,3.4,-3.72588060492247
5.5,0.2,0.3,3.5,-4.03069808556409
5.5,0.2,0.3,3.6,-4.3665536257328
5.5,0.2,0.3,3.7,-4.73974997749969
5.5,0.2,0.3,3.8,-5.15853260831399
5.5,0.2,0.3,3.9,-5.6338912698281
5.5,0.2,0.3,4,-6.18080319660696
5.5,0.2,0.3,4.1,-6.8202398481072
5.5,0.2,0.3,4.2,-7.58256977865078
5.5,0.2,0.3,4.3,-8.51370044151383
5.5,0.2,0.3,4.4,-9.68710574378436
5.5,0.2,0.3,4.5,-11.2301521510709
5.5,0.2,0.3,4.6,-13.3918061360174
5.5,0.2,0.3,4.7,-16.7681456874944
5.5,0.2,0.3,4.8,-23.5612046716576
5.5,0.2,0.3,4.9,-31.7536557828913
5.5,0.2,0.3,5,-17.8778824589196
5.5,0.2,0.3,5.1,-12.29282154904
5.5,0.2,0.3,5.2,-8.67123841501598
5.5,0.2,0.3,5.3,-6.02900301499477
5.5,0.2,0.3,5.4,-4.04449387830003
5.5,0.2,0.3,5.5,-2.57633280746509
5.5,0.2,0.3,5.6,-1.5362682219286
5.5,0.2,0.3,5.7,-0.846129731808896
5.5,0.2,0.3,5.8,-0.428758563624651
5.5,0.2,0.3,5.9,-0.212679418348821
5.5,0.2,0.3,6,-0.138074616244858
5.5,0.2,0.3,6.1,-0.159072693062492
5.5,0.2,0.3,6.2,-0.242647920469516
5.5,0.2,0.3,6.3,-0.366015519213676
5.5,0.2,0.3,6.4,-0.514033664745632
5.5,0.2,0.3,6.5,-0.67759719850781
5.5,0.2,0.3,6.6,-0.850655091804543
5.5,0.2,0.3,6.7,-1.02542379089713
5.5,0.2,0.3,6.8,-1.19969132905913
5.5,0.2,0.3,6.9,-1.37283252242467
5.5,0.2,0.3,7,-1.54396418191322
5.5,0.2,0.3,7.1,-1.71245756712252
5.5,0.2,0.3,7.2,-1.87795730079469
5.5,0.2,0.3,7.3,-2.04030276270483
5.5,0.2,0.3,7.4,-2.19946168017757
5.5,0.2,0.3,7.5,-2.35548382463547
5.5,0.2,0.3,7.6,-2.50846989047033
5.5,0.2,0.3,7.7,-2.65855076295994
5.5,0.2,0.3,7.8,-2.80587376907365
5.5,0.2,0.3,7.9,-2.95059361881859
5.5,0.2,0.3,8,-3.09286650654426
5.5,0.2,0.3,8.1,-3.2328463468173
5.5,0.2,0.3,8.2,-3.37068245386496
5.5,0.2,0.3,8.3,-3.50651819618903
5.5,0.2,0.3,8.4,-3.64049030729393
5.5,0.2,0.3,8.5,-3.77272863439107
5.5,0.2,0.3,8.6,-3.90335617565974
5.5,0.2,0.3,8.7,-4.03248930369849
5.5,0.2,0.3,8.8,-4.16023810524643
5.5,0.2,0.3,8.9,-4.28670678968442
5.5,0.2,0.3,9,-4.41199413449831
5.5,0.2,0.3,9.1,-4.53619394680198
5.5,0.2,0.3,9.2,-4.65939552778828
5.5,0.2,0.3,9.3,-4.78168413251749
5.5,0.2,0.3,9.4,-4.90314142159212
5.5,0.2,0.3,9.5,-5.02384590450415
5.5,0.2,0.3,9.6,-5.14387337729307
5.5,0.2,0.3,9.7,-5.26329736007677
5.5,0.2,0.3,9.8,-5.38218954353908
5.5,0.2,0.3,9.9,-5.50062025846847
5.5,0.2,0.3,10,-5.61865899018269
5.5,0.2,0.4,3,-2.80292631507063
5.5,0.2,0.4,3.1,-3.03350249866108
5.5,0.2,0.4,3.2,-3.28194836503867
5.5,0.2,0.4,3.3,-3.55079102619668
5.5,0.2,0.4,3.4,-3.84314428211361
5.5,0.2,0.4,3.5,-4.16288067057738
5.5,0.2,0.4,3.6,-4.51486864849979
5.5,0.2,0.4,3.7,-4.90530615077676
5.5,0.2,0.4,3.8,-5.34220058757234
5.5,0.2,0.4,3.9,-5.83607831816278
5.5,0.2,0.4,4,-6.40106707421778
5.5,0.2,0.4,4.1,-7.05661155789146
5.5,0.2,0.4,4.2,-7.83032274385847
5.5,0.2,0.4,4.3,-8.76299589350861
5.5,0.2,0.4,4.4,-9.91814253484224
5.5,0.2,0.4,4.5,-11.4020262277168
5.5,0.2,0.4,4.6,-13.4122401431004
5.5,0.2,0.4,4.7,-16.3843277268687
5.5,0.2,0.4,4.8,-21.6496902342265
5.5,0.2,0.4,4.9,-41.2351341734046
5.5,0.2,0.4,5,-21.896445831785
5.5,0.2,0.4,5.1,-15.168550316686
5.5,0.2,0.4,5.2,-11.1663338594731
5.5,0.2,0.4,5.3,-8.29912509268547
5.5,0.2,0.4,5.4,-6.10123983447487
5.5,0.2,0.4,5.5,-4.38103012145678
5.5,0.2,0.4,5.6,-3.04228350858708
5.5,0.2,0.4,5.7,-2.02447275080339
5.5,0.2,0.4,5.8,-1.27856752645208
5.5,0.2,0.4,5.9,-0.758310647955051
5.5,0.2,0.4,6,-0.419229700563733
5.5,0.2,0.4,6.1,-0.220621035695107
5.5,0.2,0.4,6.2,-0.127560837099156
5.5,0.2,0.4,6.3,-0.111770595495464
5.5,0.2,0.4,6.4,-0.151364163778781
5.5,0.2,0.4,6.5,-0.22994767312772
5.5,0.2,0.4,6.6,-0.33551477568634
5.5,0.2,0.4,6.7,-0.459403450103415
5.5,0.2,0.4,6.8,-0.595426063674308
5.5,0.2,0.4,6.9,-0.73919248140916
5.5,0.2,0.4,7,-0.887604430950831
5.5,0.2,0.4,7.1,-1.03848680073371
5.5,0.2,0.4,7.2,-1.19032247576112
5.5,0.2,0.4,7.3,-1.34206301023071
5.5,0.2,0.4,7.4,-1.49299385330363
5.5,0.2,0.4,7.5,-1.64263843951266
5.5,0.2,0.4,7.6,-1.79068984595901
5.5,0.2,0.4,7.7,-1.93696198361245
5.5,0.2,0.4,7.8,-2.08135464740601
5.5,0.2,0.4,7.9,-2.22382842407046
5.5,0.2,0.4,8,-2.36438663558197
5.5,0.2,0.4,8.1,-2.50306232320771
5.5,0.2,0.4,8.2,-2.63990885713957
5.5,0.2,0.4,8.3,-2.77499316408388
5.5,0.2,0.4,8.4,-2.9083908521572
5.5,0.2,0.4,8.5,-3.04018271538769
5.5,0.2,0.4,8.6,-3.17045224427879
5.5,0.2,0.4,8.7,-3.2992838717749
5.5,0.2,0.4,8.8,-3.42676175775547
5.5,0.2,0.4,8.9,-3.55296896836889
5.5,0.2,0.4,9,-3.67798694504507
5.5,0.2,0.4,9.1,-3.80189518608127
5.5,0.2,0.4,9.2,-3.92477108423602
5.5,0.2,0.4,9.3,-4.04668987889664
5.5,0.2,0.4,9.4,-4.16772469261847
5.5,0.2,0.4,9.5,-4.2879466302599
5.5,0.2,0.4,9.6,-4.40742492536968
5.5,0.2,0.4,9.7,-4.52622712353085
5.5,0.2,0.4,9.8,-4.6444192965268
5.5,0.2,0.4,9.9,-4.76206628490594
5.5,0.2,0.4,10,-4.87923197023205
5.5,0.2,0.5,3,-2.81427166460895
5.5,0.2,0.5,3.1,-3.0511981847548
5.5,0.2,0.5,3.2,-3.30705848477509
5.5,0.2,0.5,3.3,-3.58449889879798
5.5,0.2,0.5,3.4,-3.88676220691866
5.5,0.2,0.5,3.5,-4.21785906271017
5.5,0.2,0.5,3.6,-4.58280348570494
5.5,0.2,0.5,3.7,-4.98794287733039
5.5,0.2,0.5,3.8,-5.44143115969941
5.5,0.2,0.5,3.9,-5.95392524080521
5.5,0.2,0.5,4,-6.53964260993934
5.5,0.2,0.5,4.1,-7.21802869021285
5.5,0.2,0.5,4.2,-8.01651002170488
5.5,0.2,0.5,4.3,-8.97531367604597
