"s [mm]","w [mm]","w2 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
7.5,0.2,0.3,6.9,-5.0376958302468
7.5,0.2,0.3,7,-5.19004798534927
7.5,0.2,0.3,7.1,-5.34165135030373
7.5,0.2,0.3,7.2,-5.49265289704053
7.5,0.2,0.3,7.3,-5.64319563716482
7.5,0.2,0.3,7.4,-5.79342165483124
7.5,0.2,0.3,7.5,-5.94347617460565
7.5,0.2,0.3,7.6,-6.09351377391376
7.5,0.2,0.3,7.7,-6.24370932202045
7.5,0.2,0.3,7.8,-6.39428044749154
7.5,0.2,0.3,7.9,-6.54554244398417
7.5,0.2,0.3,8,-6.69807517063747
7.5,0.2,0.3,8.1,-6.853423843486
7.5,0.2,0.3,8.2,-7.01960028053471
7.5,0.2,0.3,8.3,-7.1232776346817
7.5,0.2,0.3,8.4,-7.28035001539725
7.5,0.2,0.3,8.5,-7.44364866627329
7.5,0.2,0.3,8.6,-7.60320293125334
7.5,0.2,0.3,8.7,-7.76292973640714
7.5,0.2,0.3,8.8,-7.92395877900086
7.5,0.2,0.3,8.9,-8.08687962844963
7.5,0.2,0.3,9,-8.25213233293424
7.5,0.2,0.3,9.1,-8.42011365640682
7.5,0.2,0.3,9.2,-8.59121410661814
7.5,0.2,0.3,9.3,-8.76583269868508
7.5,0.2,0.3,9.4,-8.94438287004392
7.5,0.2,0.3,9.5,-9.12729411907396
7.5,0.2,0.3,9.6,-9.31501112734257
7.5,0.2,0.3,9.7,-9.50799110899279
7.5,0.2,0.3,9.8,-9.7066997357419
7.5,0.2,0.3,9.9,-9.91160583444213
7.5,0.2,0.3,10,-10.1231750092323
7.5,0.2,0.4,3,-9.72835307616067
7.5,0.2,0.4,3.1,-11.8196018897727
7.5,0.2,0.4,3.2,-15.1794008176535
7.5,0.2,0.4,3.3,-22.1093958165731
7.5,0.2,0.4,3.4,-25.0106158749295
7.5,0.2,0.4,3.5,-14.5873382760901
7.5,0.2,0.4,3.6,-9.52187194824845
7.5,0.2,0.4,3.7,-6.39273484425013
7.5,0.2,0.4,3.8,-4.34285913191144
7.5,0.2,0.4,3.9,-2.92418059192727
7.5,0.2,0.4,4,-1.8797861153449
7.5,0.2,0.4,4.1,-1.14500898341895
7.5,0.2,0.4,4.2,-0.727072963287112
7.5,0.2,0.4,4.3,-0.588119077877827
7.5,0.2,0.4,4.4,-0.647331793288406
7.5,0.2,0.4,4.5,-0.825847291581834
7.5,0.2,0.4,4.6,-1.06771658602809
7.5,0.2,0.4,4.7,-1.33896722090381
7.5,0.2,0.4,4.8,-1.62057853576397
7.5,0.2,0.4,4.9,-1.90243302077447
7.5,0.2,0.4,5,-2.17941746430013
7.5,0.2,0.4,5.1,-2.44915807726298
7.5,0.2,0.4,5.2,-2.71075713233999
7.5,0.2,0.4,5.3,-2.96409848871605
7.5,0.2,0.4,5.4,-3.20946773188255
7.5,0.2,0.4,5.5,-3.44734528145479
7.5,0.2,0.4,5.6,-3.67829484902931
7.5,0.2,0.4,5.7,-3.902904722936
7.5,0.2,0.4,5.8,-4.12175841887221
7.5,0.2,0.4,5.9,-4.33542162213808
7.5,0.2,0.4,6,-4.5444380528195
7.5,0.2,0.4,6.1,-4.74933004505093
7.5,0.2,0.4,6.2,-4.95060138508111
7.5,0.2,0.4,6.3,-5.14874090935581
7.5,0.2,0.4,6.4,-5.34422584646055
7.5,0.2,0.4,6.5,-5.53752406101458
7.5,0.2,0.4,6.6,-5.72909429973252
7.5,0.2,0.4,6.7,-5.91938327883742
7.5,0.2,0.4,6.8,-6.10881800923482
7.5,0.2,0.4,6.9,-6.2977912100072
7.5,0.2,0.4,7,-6.48663727428011
7.5,0.2,0.4,7.1,-6.67559669401663
7.5,0.2,0.4,7.2,-6.8647694817121
7.5,0.2,0.4,7.3,-7.05406501935354
7.5,0.2,0.4,7.4,-7.24316851456333
7.5,0.2,0.4,7.5,-7.43156011269625
7.5,0.2,0.4,7.6,-7.61862862539092
7.5,0.2,0.4,7.7,-7.80389471888855
7.5,0.2,0.4,7.8,-7.98728791613181
7.5,0.2,0.4,7.9,-8.16934923849828
7.5,0.2,0.4,8,-8.35124170299173
7.5,0.2,0.4,8.1,-8.53457420541021
7.5,0.2,0.4,8.2,-8.72118765307116
7.5,0.2,0.4,8.3,-8.9131100365602
7.5,0.2,0.4,8.4,-9.11291103503592
7.5,0.2,0.4,8.5,-9.32498088353252
7.5,0.2,0.4,8.6,-9.56006504291292
7.5,0.2,0.4,8.7,-9.85923990165005
7.5,0.2,0.4,8.8,-10.6499273788212
7.5,0.2,0.4,8.9,-9.59932404137824
7.5,0.2,0.4,9,-10.0663406078121
7.5,0.2,0.4,9.1,-10.3561629944171
7.5,0.2,0.4,9.2,-10.6154205452751
7.5,0.2,0.4,9.3,-10.8686989750952
7.5,0.2,0.4,9.4,-11.1243027339916
7.5,0.2,0.4,9.5,-11.3866016229794
7.5,0.2,0.4,9.6,-11.6588274762107
7.5,0.2,0.4,9.7,-11.9439682595085
7.5,0.2,0.4,9.8,-12.2451182824814
7.5,0.2,0.4,9.9,-12.5656205352102
7.5,0.2,0.4,10,-12.9090968094711
7.5,0.2,0.5,3,-7.08844311308555
7.5,0.2,0.5,3.1,-8.30836667739957
7.5,0.2,0.5,3.2,-9.97686597787579
7.5,0.2,0.5,3.3,-12.4551236493634
7.5,0.2,0.5,3.4,-16.7462737205381
7.5,0.2,0.5,3.5,-28.5391274183038
7.5,0.2,0.5,3.6,-20.2721922871161
7.5,0.2,0.5,3.7,-12.2464977299838
7.5,0.2,0.5,3.8,-7.87781465707485
7.5,0.2,0.5,3.9,-4.99569235945726
7.5,0.2,0.5,4,-3.02954731767861
7.5,0.2,0.5,4.1,-1.71828018925679
7.5,0.2,0.5,4.2,-0.896811824426503
7.5,0.2,0.5,4.3,-0.439811489948131
7.5,0.2,0.5,4.4,-0.241968080687577
7.5,0.2,0.5,4.5,-0.216792346563592
7.5,0.2,0.5,4.6,-0.299727523897346
7.5,0.2,0.5,4.7,-0.446870877067261
7.5,0.2,0.5,4.8,-0.630240969613379
7.5,0.2,0.5,4.9,-0.832694730141295
7.5,0.2,0.5,5,-1.0439794460673
7.5,0.2,0.5,5.1,-1.25807467366416
7.5,0.2,0.5,5.2,-1.47151963919152
7.5,0.2,0.5,5.3,-1.68239238365024
7.5,0.2,0.5,5.4,-1.88969370914973
7.5,0.2,0.5,5.5,-2.09297599190263
7.5,0.2,0.5,5.6,-2.29211888615536
7.5,0.2,0.5,5.7,-2.48719322637234
7.5,0.2,0.5,5.8,-2.67837817754033
7.5,0.2,0.5,5.9,-2.86591077110618
7.5,0.2,0.5,6,-3.05005529017406
7.5,0.2,0.5,6.1,-3.2310849064326
7.5,0.2,0.5,6.2,-3.40927092315111
7.5,0.2,0.5,6.3,-3.5848767596649
7.5,0.2,0.5,6.4,-3.75815489844552
7.5,0.2,0.5,6.5,-3.92934568446964
7.5,0.2,0.5,6.6,-4.09867728254567
7.5,0.2,0.5,6.7,-4.26636635966836
7.5,0.2,0.5,6.8,-4.43261922566999
7.5,0.2,0.5,6.9,-4.59763327285106
7.5,0.2,0.5,7,-4.76159862679778
7.5,0.2,0.5,7.1,-4.92469997125366
7.5,0.2,0.5,7.2,-5.08711855053441
7.5,0.2,0.5,7.3,-5.24903439302184
7.5,0.2,0.5,7.4,-5.4106288499395
7.5,0.2,0.5,7.5,-5.57208762303996
7.5,0.2,0.5,7.6,-5.73360459980148
7.5,0.2,0.5,7.7,-5.89538711196231
7.5,0.2,0.5,7.8,-6.05766391461034
7.5,0.2,0.5,7.9,-6.22069895807683
7.5,0.2,0.5,8,-6.38481945159481
7.5,0.2,0.5,8.1,-6.55048726229814
7.5,0.2,0.5,8.2,-6.71854896330377
7.5,0.2,0.5,8.3,-6.89174655623179
7.5,0.2,0.5,8.4,-7.11031929938444
7.5,0.2,0.5,8.5,-7.21427287726394
7.5,0.2,0.5,8.6,-7.39859773995075
7.5,0.2,0.5,8.7,-7.58512821952758
7.5,0.2,0.5,8.8,-7.78039212442815
7.5,0.2,0.5,8.9,-7.99304375067421
7.5,0.2,0.5,9,-8.2479177191376
7.5,0.2,0.5,9.1,-8.67947386378095
7.5,0.2,0.5,9.2,-7.83067899369863
7.5,0.2,0.5,9.3,-8.25765594084352
7.5,0.2,0.5,9.4,-8.60519728559021
7.5,0.2,0.5,9.5,-8.86455458549652
7.5,0.2,0.5,9.6,-9.10346445547469
7.5,0.2,0.5,9.7,-9.3387294662208
7.5,0.2,0.5,9.8,-9.57722566607445
7.5,0.2,0.5,9.9,-9.82298853363958
7.5,0.2,0.5,10,-10.0791772214448
7.5,0.2,0.6,3,-8.41326120843667
7.5,0.2,0.6,3.1,-9.95308036786255
7.5,0.2,0.6,3.2,-12.1182639991851
7.5,0.2,0.6,3.3,-15.5180860529453
7.5,0.2,0.6,3.4,-22.4109909109254
7.5,0.2,0.6,3.5,-29.4727905603825
7.5,0.2,0.6,3.6,-16.4126136091606
7.5,0.2,0.6,3.7,-10.9846495442798
7.5,0.2,0.6,3.8,-7.52621817883353
7.5,0.2,0.6,3.9,-5.08830146180341
7.5,0.2,0.6,4,-3.33715319268689
7.5,0.2,0.6,4.1,-2.0979392109056
7.5,0.2,0.6,4.2,-1.25051281875423
7.5,0.2,0.6,4.3,-0.70419882652722
7.5,0.2,0.6,4.4,-0.388064687637455
7.5,0.2,0.6,4.5,-0.243848503718906
7.5,0.2,0.6,4.6,-0.223152552371654
7.5,0.2,0.6,4.7,-0.287475871666907
7.5,0.2,0.6,4.8,-0.408039982856687
7.5,0.2,0.6,4.9,-0.564467528883276
7.5,0.2,0.6,5,-0.742877889499275
7.5,0.2,0.6,5.1,-0.934055003741502
7.5,0.2,0.6,5.2,-1.13198486519522
7.5,0.2,0.6,5.3,-1.33279674115415
7.5,0.2,0.6,5.4,-1.53403581295265
7.5,0.2,0.6,5.5,-1.73417697722756
7.5,0.2,0.6,5.6,-1.93230404275098
7.5,0.2,0.6,5.7,-2.12789905791694
7.5,0.2,0.6,5.8,-2.32070398142319
7.5,0.2,0.6,5.9,-2.51062965870704
7.5,0.2,0.6,6,-2.69769575129878
7.5,0.2,0.6,6.1,-2.88199099072977
7.5,0.2,0.6,6.2,-3.06364684580666
7.5,0.2,0.6,6.3,-3.24282009326281
7.5,0.2,0.6,6.4,-3.41968133352329
7.5,0.2,0.6,6.5,-3.59440749973296
7.5,0.2,0.6,6.6,-3.76717706448617
7.5,0.2,0.6,6.7,-3.93816707937671
7.5,0.2,0.6,6.8,-4.1075514669838
7.5,0.2,0.6,6.9,-4.27550017405851
7.5,0.2,0.6,7,-4.44217892119716
7.5,0.2,0.6,7.1,-4.60774936939261
7.5,0.2,0.6,7.2,-4.77236958140581
7.5,0.2,0.6,7.3,-4.9361946950476
7.5,0.2,0.6,7.4,-5.09937775232016
7.5,0.2,0.6,7.5,-5.26207064710269
7.5,0.2,0.6,7.6,-5.42442516761349
7.5,0.2,0.6,7.7,-5.58659412046926
7.5,0.2,0.6,7.8,-5.74873253278286
7.5,0.2,0.6,7.9,-5.91099893973621
7.5,0.2,0.6,8,-6.07355678130978
7.5,0.2,0.6,8.1,-6.23657596170557
7.5,0.2,0.6,8.2,-6.40023469015926
7.5,0.2,0.6,8.3,-6.56472188759036
7.5,0.2,0.6,8.4,-6.73024094002625
7.5,0.2,0.6,8.5,-6.89701739773344
7.5,0.2,0.6,8.6,-7.06532203458749
7.5,0.2,0.6,8.7,-7.23558888571466
7.5,0.2,0.6,8.8,-7.41035099761548
7.5,0.2,0.6,8.9,-7.57835862362793
7.5,0.2,0.6,9,-7.75593086872181
7.5,0.2,0.6,9.1,-7.93561441676108
7.5,0.2,0.6,9.2,-8.11840823085531
7.5,0.2,0.6,9.3,-8.30484988862941
7.5,0.2,0.6,9.4,-8.49547129313304
7.5,0.2,0.6,9.5,-8.69086748863252
7.5,0.2,0.6,9.6,-8.89173175308508
7.5,0.2,0.6,9.7,-9.09889135553525
7.5,0.2,0.6,9.8,-9.31335339992321
7.5,0.2,0.6,9.9,-9.53636766610383
7.5,0.2,0.6,10,-9.7695150868622
7.5,0.2,0.7,3,-5.86513199149254
7.5,0.2,0.7,3.1,-6.70123323561285
7.5,0.2,0.7,3.2,-7.74412502389612
7.5,0.2,0.7,3.3,-9.0932413790223
7.5,0.2,0.7,3.4,-10.9311744158072
7.5,0.2,0.7,3.5,-13.6500549424339
7.5,0.2,0.7,3.6,-18.3812832511924
7.5,0.2,0.7,3.7,-33.1871050430439
7.5,0.2,0.7,3.8,-20.6864183511652
7.5,0.2,0.7,3.9,-13.2584564286116
7.5,0.2,0.7,4,-9.07601354308047
7.5,0.2,0.7,4.1,-6.20509824232655
7.5,0.2,0.7,4.2,-4.12635322028768
7.5,0.2,0.7,4.3,-2.62365950723952
7.5,0.2,0.7,4.4,-1.57076730828002
7.5,0.2,0.7,4.5,-0.869852683813223
7.5,0.2,0.7,4.6,-0.436170865095802
7.5,0.2,0.7,4.7,-0.19778607525444
7.5,0.2,0.7,4.8,-0.0973474643756782
7.5,0.2,0.7,4.9,-0.091801409499892
7.5,0.2,0.7,5,-0.150248119006261
7.5,0.2,0.7,5.1,-0.251160275109992
7.5,0.2,0.7,5.2,-0.379808858409954
7.5,0.2,0.7,5.3,-0.5262197241726
7.5,0.2,0.7,5.4,-0.683677927886089
7.5,0.2,0.7,5.5,-0.847680417701238
7.5,0.2,0.7,5.6,-1.01521970961638
7.5,0.2,0.7,5.7,-1.18429940767384
7.5,0.2,0.7,5.8,-1.35360780389763
7.5,0.2,0.7,5.9,-1.52229788876546
7.5,0.2,0.7,6,-1.68983866342703
7.5,0.2,0.7,6.1,-1.85591424215434
7.5,0.2,0.7,6.2,-2.02035508710394
7.5,0.2,0.7,6.3,-2.1830909504069
7.5,0.2,0.7,6.4,-2.34411856264179
7.5,0.2,0.7,6.5,-2.50347939781354
