"s [mm]","w [mm]","w2 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
4.5,0.2,0.2,3,-1.8996698655852
4.5,0.2,0.2,3.1,-2.03606431331295
4.5,0.2,0.2,3.2,-2.17906931009837
4.5,0.2,0.2,3.3,-2.3291701238038
4.5,0.2,0.2,3.4,-2.48693554825995
4.5,0.2,0.2,3.5,-2.65303354010916
4.5,0.2,0.2,3.6,-2.82825057339856
4.5,0.2,0.2,3.7,-3.01351574521752
4.5,0.2,0.2,3.8,-3.20993095229974
4.5,0.2,0.2,3.9,-3.41880883717684
4.5,0.2,0.2,4,-3.64172076294234
4.5,0.2,0.2,4.1,-3.880558004609
4.5,0.2,0.2,4.2,-4.13761092984613
4.5,0.2,0.2,4.3,-4.41567349558842
4.5,0.2,0.2,4.4,-4.71818417077341
4.5,0.2,0.2,4.5,-5.04941978476099
4.5,0.2,0.2,4.6,-5.41476685634853
4.5,0.2,0.2,4.7,-5.82110820466135
4.5,0.2,0.2,4.8,-6.27738594227969
4.5,0.2,0.2,4.9,-6.79544433309594
4.5,0.2,0.2,5,-7.39133575357608
4.5,0.2,0.2,5.1,-8.08743096892652
4.5,0.2,0.2,5.2,-8.91601006848655
4.5,0.2,0.2,5.3,-9.92578507435484
4.5,0.2,0.2,5.4,-11.1948009728506
4.5,0.2,0.2,5.5,-12.8590944263209
4.5,0.2,0.2,5.6,-15.1880571935668
4.5,0.2,0.2,5.7,-18.8448742309737
4.5,0.2,0.2,5.8,-26.4678293279687
4.5,0.2,0.2,5.9,-30.6043051082663
4.5,0.2,0.2,6,-18.9646571153931
4.5,0.2,0.2,6.1,-13.7467685690682
4.5,0.2,0.2,6.2,-10.2715102613199
4.5,0.2,0.2,6.3,-7.66468796095498
4.5,0.2,0.2,6.4,-5.62063118821814
4.5,0.2,0.2,6.5,-4.00508272899212
4.5,0.2,0.2,6.6,-2.74758970725776
4.5,0.2,0.2,6.7,-1.79980814367303
4.5,0.2,0.2,6.8,-1.11766238047755
4.5,0.2,0.2,6.9,-0.655961681392274
4.5,0.2,0.2,7,-0.369687211511287
4.5,0.2,0.2,7.1,-0.217391675476182
4.5,0.2,0.2,7.2,-0.163828868819117
4.5,0.2,0.2,7.3,-0.180902239139596
4.5,0.2,0.2,7.4,-0.247263101142234
4.5,0.2,0.2,7.5,-0.347227561475992
4.5,0.2,0.2,7.6,-0.469534697196158
4.5,0.2,0.2,7.7,-0.606223562100692
4.5,0.2,0.2,7.8,-0.75172687554686
