"s [mm]","w [mm]","w2 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
6.5,0.2,0.2,3,-3.20131815457246
6.5,0.2,0.2,3.1,-3.51827356900027
6.5,0.2,0.2,3.2,-3.87980309663508
6.5,0.2,0.2,3.3,-4.29905311104857
6.5,0.2,0.2,3.4,-4.79512328174232
6.5,0.2,0.2,3.5,-5.39680271935685
6.5,0.2,0.2,3.6,-6.14954881911252
6.5,0.2,0.2,3.7,-7.12964233071222
6.5,0.2,0.2,3.8,-8.47635377531484
6.5,0.2,0.2,3.9,-10.4785434209275
6.5,0.2,0.2,4,-13.8851196876619
6.5,0.2,0.2,4.1,-22.0170271982478
6.5,0.2,0.2,4.2,-22.0519199310936
6.5,0.2,0.2,4.3,-11.3486842357591
6.5,0.2,0.2,4.4,-6.24542400102233
6.5,0.2,0.2,4.5,-3.16867214955698
6.5,0.2,0.2,4.6,-1.39754219787533
6.5,0.2,0.2,4.7,-0.518890358853373
6.5,0.2,0.2,4.8,-0.186078204191884
6.5,0.2,0.2,4.9,-0.150253593985798
6.5,0.2,0.2,5,-0.263119010728067
6.5,0.2,0.2,5.1,-0.445394553558047
6.5,0.2,0.2,5.2,-0.656798017524321
6.5,0.2,0.2,5.3,-0.877362048071498
6.5,0.2,0.2,5.4,-1.09741816162681
6.5,0.2,0.2,5.5,-1.31249416607414
6.5,0.2,0.2,5.6,-1.52074094595608
6.5,0.2,0.2,5.7,-1.72162682087566
6.5,0.2,0.2,5.8,-1.91526801001166
6.5,0.2,0.2,5.9,-2.10208233621863
6.5,0.2,0.2,6,-2.28260977743236
6.5,0.2,0.2,6.1,-2.45742040556003
6.5,0.2,0.2,6.2,-2.62706859589308
6.5,0.2,0.2,6.3,-2.79207185638975
6.5,0.2,0.2,6.4,-2.95290270487932
6.5,0.2,0.2,6.5,-3.10998733961549
6.5,0.2,0.2,6.6,-3.26370770175371
6.5,0.2,0.2,6.7,-3.41440508114603
6.5,0.2,0.2,6.8,-3.56238427118954
6.5,0.2,0.2,6.9,-3.70791775169727
6.5,0.2,0.2,7,-3.85124964127472
6.5,0.2,0.2,7.1,-3.99259930549788
6.5,0.2,0.2,7.2,-4.13216458578664
6.5,0.2,0.2,7.3,-4.27012465513171
6.5,0.2,0.2,7.4,-4.40664252708687
6.5,0.2,0.2,7.5,-4.54186725301073
6.5,0.2,0.2,7.6,-4.67593584474424
6.5,0.2,0.2,7.7,-4.80897495880468
6.5,0.2,0.2,7.8,-4.94110237548118
6.5,0.2,0.2,7.9,-5.07242830291047
6.5,0.2,0.2,8,-5.20305653282182
6.5,0.2,0.2,8.1,-5.33308547144538
6.5,0.2,0.2,8.2,-5.46260906620689
6.5,0.2,0.2,8.3,-5.59171764634007
6.5,0.2,0.2,8.4,-5.72049869344254
6.5,0.2,0.2,8.5,-5.84903755626674
6.5,0.2,0.2,8.6,-5.97741812265764
6.5,0.2,0.2,8.7,-6.10572346049849
6.5,0.2,0.2,8.8,-6.2340364387887
6.5,0.2,0.2,8.9,-6.36244033953828
6.5,0.2,0.2,9,-6.49101947102373
6.5,0.2,0.2,9.1,-6.61985979310758
6.5,0.2,0.2,9.2,-6.74904956580191
6.5,0.2,0.2,9.3,-6.87868003308044
6.5,0.2,0.2,9.4,-7.00884615516013
6.5,0.2,0.2,9.5,-7.13964740414907
6.5,0.2,0.2,9.6,-7.27118864017696
6.5,0.2,0.2,9.7,-7.40358108801534
6.5,0.2,0.2,9.8,-7.53694343791024
6.5,0.2,0.2,9.9,-7.67140309911512
6.5,0.2,0.2,10,-7.80709764070499
6.5,0.2,0.3,3,-3.3432634957856
6.5,0.2,0.3,3.1,-3.68105335635736
6.5,0.2,0.3,3.2,-4.06588185055485
6.5,0.2,0.3,3.3,-4.51083741624541
6.5,0.2,0.3,3.4,-5.03456587080425
6.5,0.2,0.3,3.5,-5.66453467514476
6.5,0.2,0.3,3.6,-6.44294906163191
6.5,0.2,0.3,3.7,-7.4383309813239
6.5,0.2,0.3,3.8,-8.77068996552287
6.5,0.2,0.3,3.9,-10.6752918858704
6.5,0.2,0.3,4,-13.7094161126035
6.5,0.2,0.3,4.1,-19.8442218880001
