"s [mm]","w [mm]","w2 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
7,0.2,0.2,3,-4.00298336184454
7,0.2,0.2,3.1,-4.46886707832648
7,0.2,0.2,3.2,-5.0313240713785
7,0.2,0.2,3.3,-5.73252487128372
7,0.2,0.2,3.4,-6.64373230713922
7,0.2,0.2,3.5,-7.89590226699662
7,0.2,0.2,3.6,-9.76171853399293
7,0.2,0.2,3.7,-12.9450606840253
7,0.2,0.2,3.8,-20.4517661235375
7,0.2,0.2,3.9,-22.051739152434
7,0.2,0.2,4,-10.5322090831698
7,0.2,0.2,4.1,-5.27044178402693
7,0.2,0.2,4.2,-2.30047494846216
7,0.2,0.2,4.3,-0.812001400208847
7,0.2,0.2,4.4,-0.24257205722431
7,0.2,0.2,4.5,-0.154203929259879
7,0.2,0.2,4.6,-0.286091838556535
7,0.2,0.2,4.7,-0.508673262545334
7,0.2,0.2,4.8,-0.762710336845971
7,0.2,0.2,4.9,-1.0221736752669
7,0.2,0.2,5,-1.27611963514663
7,0.2,0.2,5.1,-1.52040612180668
7,0.2,0.2,5.2,-1.75394008646989
7,0.2,0.2,5.3,-1.97696174070981
7,0.2,0.2,5.4,-2.19025183930159
7,0.2,0.2,5.5,-2.39476507561506
7,0.2,0.2,5.6,-2.59146378586272
7,0.2,0.2,5.7,-2.78124696936013
7,0.2,0.2,5.8,-2.96492472190375
7,0.2,0.2,5.9,-3.1432139445906
7,0.2,0.2,6,-3.31674353004586
7,0.2,0.2,6.1,-3.48606325793456
7,0.2,0.2,6.2,-3.6516536229027
7,0.2,0.2,6.3,-3.8139353145051
7,0.2,0.2,6.4,-3.97327781682038
7,0.2,0.2,6.5,-4.13000696431391
7,0.2,0.2,6.6,-4.28441146585608
7,0.2,0.2,6.7,-4.43674848555526
7,0.2,0.2,6.8,-4.58724839623075
7,0.2,0.2,6.9,-4.73611882437489
7,0.2,0.2,7,-4.88354809751882
7,0.2,0.2,7.1,-5.02970819280016
7,0.2,0.2,7.2,-5.17475727263205
7,0.2,0.2,7.3,-5.3188418813577
7,0.2,0.2,7.4,-5.46209886644829
7,0.2,0.2,7.5,-5.60465707964107
7,0.2,0.2,7.6,-5.74663890796549
7,0.2,0.2,7.7,-5.88816168296624
7,0.2,0.2,7.8,-6.02933902123485
7,0.2,0.2,7.9,-6.17028216721764
7,0.2,0.2,8,-6.3111014579722
7,0.2,0.2,8.1,-6.45190816161291
7,0.2,0.2,8.2,-6.59281733285721
7,0.2,0.2,8.3,-6.73395368322366
7,0.2,0.2,8.4,-6.87546836141263
7,0.2,0.2,8.5,-7.01761185166596
7,0.2,0.2,8.6,-7.1614231072008
7,0.2,0.2,8.7,-7.29731082086746
7,0.2,0.2,8.8,-7.44422329398929
7,0.2,0.2,8.9,-7.58943785756129
7,0.2,0.2,9,-7.73539921633109
7,0.2,0.2,9.1,-7.88249494076571
7,0.2,0.2,9.2,-8.03095698126161
7,0.2,0.2,9.3,-8.18099706436247
7,0.2,0.2,9.4,-8.33283420804992
7,0.2,0.2,9.5,-8.48670503114552
7,0.2,0.2,9.6,-8.64287025610708
7,0.2,0.2,9.7,-8.80162060506093
7,0.2,0.2,9.8,-8.96328321443548
7,0.2,0.2,9.9,-9.12822918922253
7,0.2,0.2,10,-9.29688283100045
7,0.2,0.3,3,-4.2134027577134
7,0.2,0.3,3.1,-4.70964699239508
7,0.2,0.3,3.2,-5.30558935937799
7,0.2,0.3,3.3,-6.04202950789451
7,0.2,0.3,3.4,-6.98603857612055
7,0.2,0.3,3.5,-8.25667609814978
7,0.2,0.3,3.6,-10.0906767455919
7,0.2,0.3,3.7,-13.0572397882235
7,0.2,0.3,3.8,-19.2113257607185
7,0.2,0.3,3.9,-29.175208918353
7,0.2,0.3,4,-13.6625709221615
7,0.2,0.3,4.1,-7.77949480013105
7,0.2,0.3,4.2,-4.24185621887242
7,0.2,0.3,4.3,-2.07145733486114
7,0.2,0.3,4.4,-0.866600147367086
7,0.2,0.3,4.5,-0.310512660185128
7,0.2,0.3,4.6,-0.143840140443502
7,0.2,0.3,4.7,-0.189047679469703
7,0.2,0.3,4.8,-0.341332179552031
7,0.2,0.3,4.9,-0.543850259713771
7,0.2,0.3,5,-0.767041301156559
7,0.2,0.3,5.1,-0.995901366167018
7,0.2,0.3,5.2,-1.22301953247126
7,0.2,0.3,5.3,-1.44492497211103
7,0.2,0.3,5.4,-1.66018804693747
7,0.2,0.3,5.5,-1.8684286315289
7,0.2,0.3,5.6,-2.06979384155827
7,0.2,0.3,5.7,-2.26468117083564
7,0.2,0.3,5.8,-2.45359166409639
7,0.2,0.3,5.9,-2.63705287141422
7,0.2,0.3,6,-2.81557960720114
7,0.2,0.3,6.1,-2.98965527704174
7,0.2,0.3,6.2,-3.15972435468929
7,0.2,0.3,6.3,-3.32619081047783
7,0.2,0.3,6.4,-3.48941960440917
7,0.2,0.3,6.5,-3.64973964112193
7,0.2,0.3,6.6,-3.80744730447589
7,0.2,0.3,6.7,-3.9628100966997
7,0.2,0.3,6.8,-4.1160701378765
7,0.2,0.3,6.9,-4.26744741211349
7,0.2,0.3,7,-4.41714272004911
7,0.2,0.3,7.1,-4.56534033797737
7,0.2,0.3,7.2,-4.71221040616141
7,0.2,0.3,7.3,-4.85791108147833
7,0.2,0.3,7.4,-5.00259049794024
7,0.2,0.3,7.5,-5.14638858714039
7,0.2,0.3,7.6,-5.289438823753
7,0.2,0.3,7.7,-5.43186998558229
7,0.2,0.3,7.8,-5.57380806607699
7,0.2,0.3,7.9,-5.71537857749078
7,0.2,0.3,8,-5.85670970132749
7,0.2,0.3,8.1,-5.99793725245514
7,0.2,0.3,8.2,-6.13921372455371
7,0.2,0.3,8.3,-6.28072741970945
7,0.2,0.3,8.4,-6.42275020432905
7,0.2,0.3,8.5,-6.56578494094639
7,0.2,0.3,8.6,-6.7111940319452
7,0.2,0.3,8.7,-6.86627229787529
7,0.2,0.3,8.8,-6.95126771290366
7,0.2,0.3,8.9,-7.11328339032566
7,0.2,0.3,9,-7.26457763643121
7,0.2,0.3,9.1,-7.41275813216285
7,0.2,0.3,9.2,-7.56104776678804
7,0.2,0.3,9.3,-7.71067887752545
7,0.2,0.3,9.4,-7.86428312431846
7,0.2,0.3,9.5,-7.99877532079982
7,0.2,0.3,9.6,-8.15874178646543
7,0.2,0.3,9.7,-8.31554480402568
7,0.2,0.3,9.8,-8.47380696948424
7,0.2,0.3,9.9,-8.63446039992597
7,0.2,0.3,10,-8.79800384179165
7,0.2,0.4,3,-4.24534880908273
7,0.2,0.4,3.1,-4.75478113370635
7,0.2,0.4,3.2,-5.36328191305281
7,0.2,0.4,3.3,-6.10850634115364
7,0.2,0.4,3.4,-7.05050517167249
7,0.2,0.4,3.5,-8.29187327339996
7,0.2,0.4,3.6,-10.0263662931808
7,0.2,0.4,3.7,-12.6842619997844
7,0.2,0.4,3.8,-17.5761377496883
7,0.2,0.4,3.9,-36.9953611201626
7,0.2,0.4,4,-17.5248986202417
7,0.2,0.4,4.1,-10.499730534918
7,0.2,0.4,4.2,-6.43137115539619
7,0.2,0.4,4.3,-3.75128427608798
7,0.2,0.4,4.4,-2.00913324925024
7,0.2,0.4,4.5,-0.958073945124851
7,0.2,0.4,4.6,-0.39489527113611
7,0.2,0.4,4.7,-0.15088543321678
7,0.2,0.4,4.8,-0.102432499680691
7,0.2,0.4,4.9,-0.168311932167984
7,0.2,0.4,5,-0.2986520278575
7,0.2,0.4,5.1,-0.463915636466145
7,0.2,0.4,5.2,-0.646913640489357
7,0.2,0.4,5.3,-0.837740056947873
7,0.2,0.4,5.4,-1.03074314612255
7,0.2,0.4,5.5,-1.22275503340661
7,0.2,0.4,5.6,-1.41206208311454
7,0.2,0.4,5.7,-1.59780388500211
7,0.2,0.4,5.8,-1.77961985346833
7,0.2,0.4,5.9,-1.9574397392133
7,0.2,0.4,6,-2.13135858170923
7,0.2,0.4,6.1,-2.30156173980726
7,0.2,0.4,6.2,-2.46827993407616
7,0.2,0.4,6.3,-2.63176244301812
7,0.2,0.4,6.4,-2.7922613614269
7,0.2,0.4,6.5,-2.95002263110574
7,0.2,0.4,6.6,-3.10528122250677
7,0.2,0.4,6.7,-3.25825885162329
7,0.2,0.4,6.8,-3.40916322991028
7,0.2,0.4,6.9,-3.55818822314278
7,0.2,0.4,7,-3.70551453038599
7,0.2,0.4,7.1,-3.85131064176734
7,0.2,0.4,7.2,-3.99573392679869
7,0.2,0.4,7.3,-4.13893176394554
7,0.2,0.4,7.4,-4.28104265954689
7,0.2,0.4,7.5,-4.42219732791309
7,0.2,0.4,7.6,-4.56251971941119
7,0.2,0.4,7.7,-4.7021279927422
7,0.2,0.4,7.8,-4.8411354334344
7,0.2,0.4,7.9,-4.97965132412509
7,0.2,0.4,8,-5.1177817743306
7,0.2,0.4,8.1,-5.25563051866192
7,0.2,0.4,8.2,-5.39329969320566
7,0.2,0.4,8.3,-5.53089060030418
7,0.2,0.4,8.4,-5.66850447240884
7,0.2,0.4,8.5,-5.80624324617672
7,0.2,0.4,8.6,-5.94421035863051
7,0.2,0.4,8.7,-6.08251157809597
7,0.2,0.4,8.8,-6.22125588385681
7,0.2,0.4,8.9,-6.36055641011526
7,0.2,0.4,9,-6.50053147203218
7,0.2,0.4,9.1,-6.64130569447581
7,0.2,0.4,9.2,-6.78301126780698
7,0.2,0.4,9.3,-6.92578935979419
7,0.2,0.4,9.4,-7.06979171887702
7,0.2,0.4,9.5,-7.2151825118674
7,0.2,0.4,9.6,-7.36214044931579
7,0.2,0.4,9.7,-7.51086126486887
7,0.2,0.4,9.8,-7.66156063195652
7,0.2,0.4,9.9,-7.81447762336954
7,0.2,0.4,10,-7.969878848524
7,0.2,0.5,3,-4.28554044260472
7,0.2,0.5,3.1,-4.80031381851034
7,0.2,0.5,3.2,-5.41129265969236
7,0.2,0.5,3.3,-6.15262978166194
7,0.2,0.5,3.4,-7.07737988664618
7,0.2,0.5,3.5,-8.27324440710495
7,0.2,0.5,3.6,-9.8986532789377
7,0.2,0.5,3.7,-12.2823909499534
7,0.2,0.5,3.8,-16.3016536949227
7,0.2,0.5,3.9,-26.443588809197
7,0.2,0.5,4,-22.2849649995871
7,0.2,0.5,4.1,-13.2536174098685
7,0.2,0.5,4.2,-8.602124049546
7,0.2,0.5,4.3,-5.52934258285304
7,0.2,0.5,4.4,-3.39951078483807
7,0.2,0.5,4.5,-1.95431966788951
7,0.2,0.5,4.6,-1.02792855070967
7,0.2,0.5,4.7,-0.482221000348229
7,0.2,0.5,4.8,-0.201345189234659
7,0.2,0.5,4.9,-0.0960715734583021
7,0.2,0.5,5,-0.103164703556432
7,0.2,0.5,5.1,-0.180338438396394
7,0.2,0.5,5.2,-0.300278257823639
7,0.2,0.5,5.3,-0.445662142178441
7,0.2,0.5,5.4,-0.605602727712941
7,0.2,0.5,5.5,-0.773289105021364
7,0.2,0.5,5.6,-0.944479511146415
7,0.2,0.5,5.7,-1.11655257320771
7,0.2,0.5,5.8,-1.2879123716751
