"s [mm]","w [mm]","w2 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
8,0.2,0.2,3,-6.17547322417157
8,0.2,0.2,3.1,-7.58215988476089
8,0.2,0.2,3.2,-9.89561738499104
8,0.2,0.2,3.3,-14.6791162799662
8,0.2,0.2,3.4,-35.623162673733
8,0.2,0.2,3.5,-11.0693198152144
8,0.2,0.2,3.6,-4.51215681115333
8,0.2,0.2,3.7,-1.45423185986884
8,0.2,0.2,3.8,-0.340529451881552
8,0.2,0.2,3.9,-0.151023446826242
8,0.2,0.2,4,-0.313063321401038
8,0.2,0.2,4.1,-0.587996771134258
8,0.2,0.2,4.2,-0.888207453214407
8,0.2,0.2,4.3,-1.18338382515598
8,0.2,0.2,4.4,-1.46417300683617
8,0.2,0.2,4.5,-1.72883452121844
8,0.2,0.2,4.6,-1.97829037705561
8,0.2,0.2,4.7,-2.21425885148242
8,0.2,0.2,4.8,-2.43855516255551
8,0.2,0.2,4.9,-2.65284560882155
8,0.2,0.2,5,-2.85857955879434
8,0.2,0.2,5.1,-3.05698948917189
8,0.2,0.2,5.2,-3.24911458346389
8,0.2,0.2,5.3,-3.43582996332425
8,0.2,0.2,5.4,-3.61787465260046
8,0.2,0.2,5.5,-3.79587597490604
8,0.2,0.2,5.6,-3.97036996648858
8,0.2,0.2,5.7,-4.14181810395607
8,0.2,0.2,5.8,-4.31062087010405
8,0.2,0.2,5.9,-4.47712870225375
8,0.2,0.2,6,-4.64165081344229
8,0.2,0.2,6.1,-4.80446230209278
8,0.2,0.2,6.2,-4.96580989267192
8,0.2,0.2,6.3,-5.12591658624747
8,0.2,0.2,6.4,-5.2849854475755
8,0.2,0.2,6.5,-5.44320271369833
8,0.2,0.2,6.6,-5.6007403765217
8,0.2,0.2,6.7,-5.7577583668489
8,0.2,0.2,6.8,-5.91440644842039
8,0.2,0.2,6.9,-6.07082591642833
8,0.2,0.2,7,-6.2271511847783
8,0.2,0.2,7.1,-6.38351133931254
8,0.2,0.2,7.2,-6.54003172974418
8,0.2,0.2,7.3,-6.69683567079034
8,0.2,0.2,7.4,-6.85404632269566
8,0.2,0.2,7.5,-7.01178882288798
8,0.2,0.2,7.6,-7.17019274391956
8,0.2,0.2,7.7,-7.32939495825019
8,0.2,0.2,7.8,-7.48954299810788
