"l1 [mm]","l2 [mm]","l3 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
2.8,3.4,2.4,5,-2.67835579536884
2.8,3.4,2.4,5.1,-2.78648586525063
2.8,3.4,2.4,5.2,-2.89750225131146
2.8,3.4,2.4,5.3,-3.01153184769816
2.8,3.4,2.4,5.4,-3.12871463318439
2.8,3.4,2.4,5.5,-3.2492049768465
2.8,3.4,2.4,5.6,-3.37317311279798
2.8,3.4,2.4,5.7,-3.50080681068931
2.8,3.4,2.4,5.8,-3.63231327353312
2.8,3.4,2.4,5.9,-3.76792130030679
2.8,3.4,2.4,6,-3.90788375797239
2.8,3.4,2.4,6.1,-4.0524804163636
2.8,3.4,2.4,6.2,-4.2020212102442
2.8,3.4,2.4,6.3,-4.35685000628899
2.8,3.4,2.4,6.4,-4.51734896949091
2.8,3.4,2.4,6.5,-4.68394364450021
2.8,3.4,2.4,6.6,-4.85710889389874
2.8,3.4,2.4,6.7,-5.03737586907847
2.8,3.4,2.4,6.8,-5.22534023247962
2.8,3.4,2.4,6.9,-5.42167190552423
2.8,3.4,2.4,7,-5.62712668888021
2.8,3.4,2.4,7.1,-5.84256019658936
2.8,3.4,2.4,7.2,-6.06894467136008
2.8,3.4,2.4,7.3,-6.30738941674082
2.8,3.4,2.4,7.4,-6.55916580995112
2.8,3.4,2.4,7.5,-6.82573817172693
2.8,3.4,2.4,7.6,-7.10880220360207
2.8,3.4,2.4,7.7,-7.41033331443852
2.8,3.4,2.4,7.8,-7.73264803261813
2.8,3.4,2.4,7.9,-8.0784829728038
2.8,3.4,2.4,8,-8.4510977123344
2.8,3.4,2.4,8.1,-8.85441078596919
2.8,3.4,2.4,8.2,-9.29318242423309
2.8,3.4,2.4,8.3,-9.77326467087088
2.8,3.4,2.4,8.4,-10.3019509611933
2.8,3.4,2.4,8.5,-10.8884765368496
2.8,3.4,2.4,8.6,-11.5447547878793
2.8,3.4,2.4,8.7,-12.2864960015224
2.8,3.4,2.4,8.8,-13.1349721657806
2.8,3.4,2.4,8.9,-14.1199275569156
2.8,3.4,2.4,9,-15.284640940407
2.8,3.4,2.4,9.1,-16.6953076053079
2.8,3.4,2.4,9.2,-18.4597658981633
2.8,3.4,2.4,9.3,-20.7677464083677
2.8,3.4,2.4,9.4,-23.9756292286288
2.8,3.4,2.4,9.5,-28.553293415768
2.8,3.4,2.4,9.6,-30.660467875152
2.8,3.4,2.4,9.7,-25.6291065600833
2.8,3.4,2.4,9.8,-21.305219465516
2.8,3.4,2.4,9.9,-18.1602900492457
2.8,3.4,2.4,10,-15.7216070505733
2.8,3.4,2.4,10.1,-13.7294108832181
2.8,3.4,2.4,10.2,-12.0431110168939
2.8,3.4,2.4,10.3,-10.5808461474819
2.8,3.4,2.4,10.4,-9.29187199554122
2.8,3.4,2.4,10.5,-8.14324993468153
2.8,3.4,2.4,10.6,-7.1128881874658
2.8,3.4,2.4,10.7,-6.18561147784238
2.8,3.4,2.4,10.8,-5.35077577267924
2.8,3.4,2.4,10.9,-4.60072075104263
2.8,3.4,2.4,11,-3.92970554331411
2.8,3.4,2.4,11.1,-3.33314566623926
2.8,3.4,2.4,11.2,-2.80705778008473
2.8,3.4,2.4,11.3,-2.34766481460272
2.8,3.4,2.4,11.4,-1.95113576926143
2.8,3.4,2.4,11.5,-1.61344190712307
2.8,3.4,2.4,11.6,-1.33031060940663
2.8,3.4,2.4,11.7,-1.09725481021714
2.8,3.4,2.4,11.8,-0.90965332456637
2.8,3.4,2.4,11.9,-0.762857527135245
2.8,3.4,2.4,12,-0.652303077063805
2.8,3.4,2.4,12.1,-0.57361082041283
2.8,3.4,2.4,12.2,-0.52266721163748
2.8,3.4,2.4,12.3,-0.495680275903117
2.8,3.4,2.4,12.4,-0.489211476454713
2.8,3.4,2.4,12.5,-0.500186600322827
2.8,3.4,2.4,12.6,-0.5258900884401
2.8,3.4,2.4,12.7,-0.563947478210474
2.8,3.4,2.4,12.8,-0.612300201293678
2.8,3.4,2.4,12.9,-0.669176227620418
2.8,3.4,2.4,13,-0.733059208975683
2.8,3.4,2.4,13.1,-0.80265799555985
2.8,3.4,2.4,13.2,-0.876877745504777
2.8,3.4,2.4,13.3,-0.954793339644593
2.8,3.4,2.4,13.4,-1.03562544314288
2.8,3.4,2.4,13.5,-1.11871930025951
2.8,3.4,2.4,13.6,-1.20352618356165
2.8,3.4,2.4,13.7,-1.28958732078757
2.8,3.4,2.4,13.8,-1.37652007166946
2.8,3.4,2.4,13.9,-1.46400610788895
2.8,3.4,2.4,14,-1.55178135050436
2.8,3.4,2.4,14.1,-1.63962743246932
2.8,3.4,2.4,14.2,-1.72736447363762
2.8,3.4,2.4,14.3,-1.81484497819985
2.8,3.4,2.4,14.4,-1.90194868748283
2.8,3.4,2.4,14.5,-1.98857824305672
2.8,3.4,2.4,14.6,-2.07465553538397
2.8,3.4,2.4,14.7,-2.16011863146292
2.8,3.4,2.4,14.8,-2.24491919099128
2.8,3.4,2.4,14.9,-2.32902029457941
2.8,3.4,2.4,15,-2.41239461965336
2.8,3.45,2.4,5,-3.09902286044552
2.8,3.45,2.4,5.1,-3.22216204556
2.8,3.45,2.4,5.2,-3.34852555220626
2.8,3.45,2.4,5.3,-3.47826345289014
2.8,3.45,2.4,5.4,-3.61154170773607
2.8,3.45,2.4,5.5,-3.74854377490157
2.8,3.45,2.4,5.6,-3.88947243764242
2.8,3.45,2.4,5.7,-4.0345518833547
2.8,3.45,2.4,5.8,-4.18403007662059
2.8,3.45,2.4,5.9,-4.3381814764888
2.8,3.45,2.4,6,-4.49731015831374
2.8,3.45,2.4,6.1,-4.66175341296336
2.8,3.45,2.4,6.2,-4.83188591173632
2.8,3.45,2.4,6.3,-5.00812454476429
2.8,3.45,2.4,6.4,-5.19093406515284
2.8,3.45,2.4,6.5,-5.38083370215096
2.8,3.45,2.4,6.6,-5.57840494627965
2.8,3.45,2.4,6.7,-5.78430076037105
2.8,3.45,2.4,6.8,-5.99925653668143
2.8,3.45,2.4,6.9,-6.22410320693082
2.8,3.45,2.4,7,-6.4597830266968
2.8,3.45,2.4,7.1,-6.70736870857025
2.8,3.45,2.4,7.2,-6.96808678498335
2.8,3.45,2.4,7.3,-7.24334636367858
2.8,3.45,2.4,7.4,-7.53477482900039
2.8,3.45,2.4,7.5,-7.84426258955471
2.8,3.45,2.4,7.6,-8.17401975225744
2.8,3.45,2.4,7.7,-8.52664873123873
2.8,3.45,2.4,7.8,-8.90523846349526
2.8,3.45,2.4,7.9,-9.3134884044572
2.8,3.45,2.4,8,-9.75587432141978
2.8,3.45,2.4,8.1,-10.2378739590037
2.8,3.45,2.4,8.2,-10.7662804547541
2.8,3.45,2.4,8.3,-11.3496477492341
2.8,3.45,2.4,8.4,-11.9989405231572
2.8,3.45,2.4,8.5,-12.7285120656698
2.8,3.45,2.4,8.6,-13.557629216273
2.8,3.45,2.4,8.7,-14.5129533909448
2.8,3.45,2.4,8.8,-15.6327867053888
2.8,3.45,2.4,8.9,-16.9747949114983
2.8,3.45,2.4,9,-18.6311115280043
2.8,3.45,2.4,9.1,-20.7603579169447
2.8,3.45,2.4,9.2,-23.6588650783841
2.8,3.45,2.4,9.3,-27.8524436602971
2.8,3.45,2.4,9.4,-32.0913614089582
2.8,3.45,2.4,9.5,-28.257289843855
2.8,3.45,2.4,9.6,-23.420143176586
2.8,3.45,2.4,9.7,-19.9580907311632
2.8,3.45,2.4,9.8,-17.334731519636
2.8,3.45,2.4,9.9,-15.2238873590793
2.8,3.45,2.4,10,-13.4535195980936
2.8,3.45,2.4,10.1,-11.9258551307082
2.8,3.45,2.4,10.2,-10.5812292377591
2.8,3.45,2.4,10.3,-9.38122931265803
2.8,3.45,2.4,10.4,-8.30016898171562
2.8,3.45,2.4,10.5,-7.32042699871262
2.8,3.45,2.4,10.6,-6.42971422215693
2.8,3.45,2.4,10.7,-5.61936299520633
2.8,3.45,2.4,10.8,-4.88318681011626
2.8,3.45,2.4,10.9,-4.21667355083397
2.8,3.45,2.4,11,-3.61638561416954
2.8,3.45,2.4,11.1,-3.07949999377612
2.8,3.45,2.4,11.2,-2.60345498444847
2.8,3.45,2.4,11.3,-2.18568836635321
2.8,3.45,2.4,11.4,-1.82346006464637
2.8,3.45,2.4,11.5,-1.51375360779641
2.8,3.45,2.4,11.6,-1.25324795557873
2.8,3.45,2.4,11.7,-1.03834702048119
2.8,3.45,2.4,11.8,-0.865250669674834
2.8,3.45,2.4,11.9,-0.730049584917767
2.8,3.45,2.4,12,-0.628827483284856
2.8,3.45,2.4,12.1,-0.557757388601645
2.8,3.45,2.4,12.2,-0.513182922906251
