"l1 [mm]","l2 [mm]","l3 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
2.8,3.4,2.5,5,-2.48999103243606
2.8,3.4,2.5,5.1,-2.59088936682383
2.8,3.4,2.5,5.2,-2.6945263507702
2.8,3.4,2.5,5.3,-2.80102644063215
2.8,3.4,2.5,5.4,-2.9105271816821
2.8,3.4,2.5,5.5,-3.02318057922709
2.8,3.4,2.5,5.6,-3.13915465337307
2.8,3.4,2.5,5.7,-3.25863520703088
2.8,3.4,2.5,5.8,-3.38182784230936
2.8,3.4,2.5,5.9,-3.50896026720804
2.8,3.4,2.5,6,-3.64028494281178
2.8,3.4,2.5,6.1,-3.7760821313968
2.8,3.4,2.5,6.2,-3.91666341848808
2.8,3.4,2.5,6.3,-4.0623757976274
2.8,3.4,2.5,6.4,-4.21360642628761
2.8,3.4,2.5,6.5,-4.37078818615434
2.8,3.4,2.5,6.6,-4.53440621242667
2.8,3.4,2.5,6.7,-4.70500559692834
2.8,3.4,2.5,6.8,-4.88320052147592
2.8,3.4,2.5,6.9,-5.06968514496379
2.8,3.4,2.5,7,-5.26524665532492
2.8,3.4,2.5,7.1,-5.47078101336978
2.8,3.4,2.5,7.2,-5.68731207007297
2.8,3.4,2.5,7.3,-5.91601494735165
2.8,3.4,2.5,7.4,-6.15824485687524
2.8,3.4,2.5,7.5,-6.41557292463112
2.8,3.4,2.5,7.6,-6.68983113991023
2.8,3.4,2.5,7.7,-6.98316933103757
2.8,3.4,2.5,7.8,-7.29812820331538
2.8,3.4,2.5,7.9,-7.63773414291584
2.8,3.4,2.5,8,-8.00562399581787
2.8,3.4,2.5,8.1,-8.40621187691932
2.8,3.4,2.5,8.2,-8.84491611454018
2.8,3.4,2.5,8.3,-9.32847421595704
2.8,3.4,2.5,8.4,-9.86539004250344
2.8,3.4,2.5,8.5,-10.4665855156606
2.8,3.4,2.5,8.6,-11.1463796726521
2.8,3.4,2.5,8.7,-11.9240127038258
2.8,3.4,2.5,8.8,-12.8261200658589
2.8,3.4,2.5,8.9,-13.8909549897123
2.8,3.4,2.5,9,-15.1760391504081
2.8,3.4,2.5,9.1,-16.7730370692025
2.8,3.4,2.5,9.2,-18.8389443316414
2.8,3.4,2.5,9.3,-21.6635446301801
2.8,3.4,2.5,9.4,-25.7384907293623
2.8,3.4,2.5,9.5,-29.7206223331328
2.8,3.4,2.5,9.6,-25.9612018944586
2.8,3.4,2.5,9.7,-21.1576557253362
2.8,3.4,2.5,9.8,-17.6722935471566
2.8,3.4,2.5,9.9,-15.0147718607631
2.8,3.4,2.5,10,-12.8711943202781
2.8,3.4,2.5,10.1,-11.0747943495106
2.8,3.4,2.5,10.2,-9.5313563513503
2.8,3.4,2.5,10.3,-8.18426929097262
2.8,3.4,2.5,10.4,-6.99793434095592
2.8,3.4,2.5,10.5,-5.94919662724848
2.8,3.4,2.5,10.6,-5.02250934513444
2.8,3.4,2.5,10.7,-4.20696757424898
2.8,3.4,2.5,10.8,-3.49436246548242
2.8,3.4,2.5,10.9,-2.87785938818945
2.8,3.4,2.5,11,-2.35111396841686
2.8,3.4,2.5,11.1,-1.90773253794619
2.8,3.4,2.5,11.2,-1.54101445121746
2.8,3.4,2.5,11.3,-1.24391493595874
2.8,3.4,2.5,11.4,-1.00916022790661
2.8,3.4,2.5,11.5,-0.829445095156928
2.8,3.4,2.5,11.6,-0.697651390927955
2.8,3.4,2.5,11.7,-0.607042975758229
2.8,3.4,2.5,11.8,-0.551411858194279
2.8,3.4,2.5,11.9,-0.525167603427867
2.8,3.4,2.5,12,-0.523374091200039
2.8,3.4,2.5,12.1,-0.541744133653767
2.8,3.4,2.5,12.2,-0.576604410779876
2.8,3.4,2.5,12.3,-0.624842291945542
2.8,3.4,2.5,12.4,-0.683843865906178
2.8,3.4,2.5,12.5,-0.751429927311938
2.8,3.4,2.5,12.6,-0.825794338473709
2.8,3.4,2.5,12.7,-0.905447336420511
2.8,3.4,2.5,12.8,-0.989165018529373
2.8,3.4,2.5,12.9,-1.07594534763126
2.8,3.4,2.5,13,-1.16497046911379
2.8,3.4,2.5,13.1,-1.25557483001829
2.8,3.4,2.5,13.2,-1.34721845215412
2.8,3.4,2.5,13.3,-1.43946467661478
2.8,3.4,2.5,13.4,-1.53196172268354
2.8,3.4,2.5,13.5,-1.62442746123252
2.8,3.4,2.5,13.6,-1.71663687314181
2.8,3.4,2.5,13.7,-1.80841173608915
2.8,3.4,2.5,13.8,-1.89961215221145
2.8,3.4,2.5,13.9,-1.99012959162073
2.8,3.4,2.5,14,-2.07988118143964
