"l1 [mm]","l2 [mm]","l3 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
2.8,3.4,2.1,5,-2.75495190115319
2.8,3.4,2.1,5.1,-2.86871024453957
2.8,3.4,2.1,5.2,-2.98559560561813
2.8,3.4,2.1,5.3,-3.10573227280796
2.8,3.4,2.1,5.4,-3.2292559958321
2.8,3.4,2.1,5.5,-3.35631502479241
2.8,3.4,2.1,5.6,-3.48707127115129
2.8,3.4,2.1,5.7,-3.62170160842149
2.8,3.4,2.1,5.8,-3.76039933335317
2.8,3.4,2.1,5.9,-3.90337581199217
2.8,3.4,2.1,6,-4.05086233930146
2.8,3.4,2.1,6.1,-4.2031122462615
2.8,3.4,2.1,6.2,-4.36040329471461
2.8,3.4,2.1,6.3,-4.52304040797372
2.8,3.4,2.1,6.4,-4.69135879473656
2.8,3.4,2.1,6.5,-4.86572753559875
2.8,3.4,2.1,6.6,-5.04655371604989
2.8,3.4,2.1,6.7,-5.23428720806051
2.8,3.4,2.1,6.8,-5.42942622527689
2.8,3.4,2.1,6.9,-5.63252380583699
2.8,3.4,2.1,7,-5.84419541378646
2.8,3.4,2.1,7.1,-6.06512789756501
2.8,3.4,2.1,7.2,-6.29609010554799
2.8,3.4,2.1,7.3,-6.53794553900694
2.8,3.4,2.1,7.4,-6.79166752886792
2.8,3.4,2.1,7.5,-7.05835756388058
2.8,3.4,2.1,7.6,-7.33926758800008
2.8,3.4,2.1,7.7,-7.63582734388081
2.8,3.4,2.1,7.8,-7.94967819679147
2.8,3.4,2.1,7.9,-8.28271537301316
2.8,3.4,2.1,8,-8.63714125591823
2.8,3.4,2.1,8.1,-9.01553340544259
2.8,3.4,2.1,8.2,-9.42093246715226
2.8,3.4,2.1,8.3,-9.85695738187621
2.8,3.4,2.1,8.4,-10.3279587374056
2.8,3.4,2.1,8.5,-10.8392264717347
2.8,3.4,2.1,8.6,-11.3972767612494
2.8,3.4,2.1,8.7,-12.0102571977605
2.8,3.4,2.1,8.8,-12.6885337735424
2.8,3.4,2.1,8.9,-13.4455665780653
2.8,3.4,2.1,9,-14.2992616095949
2.8,3.4,2.1,9.1,-15.2741430638063
2.8,3.4,2.1,9.2,-16.405014385142
2.8,3.4,2.1,9.3,-17.7434890783465
2.8,3.4,2.1,9.4,-19.3704502636525
2.8,3.4,2.1,9.5,-21.4216555911626
2.8,3.4,2.1,9.6,-24.1430709076898
2.8,3.4,2.1,9.7,-27.9791385969541
2.8,3.4,2.1,9.8,-32.6849636084243
2.8,3.4,2.1,9.9,-30.9265543993018
2.8,3.4,2.1,10,-25.9804827798111
2.8,3.4,2.1,10.1,-22.354684918723
2.8,3.4,2.1,10.2,-19.6588170938731
2.8,3.4,2.1,10.3,-17.527988313252
2.8,3.4,2.1,10.4,-15.7664017370589
2.8,3.4,2.1,10.5,-14.2633573599733
2.8,3.4,2.1,10.6,-12.9514498629261
2.8,3.4,2.1,10.7,-11.7870346065232
2.8,3.4,2.1,10.8,-10.7404599703467
2.8,3.4,2.1,10.9,-9.79081269823477
2.8,3.4,2.1,11,-8.92290416744325
2.8,3.4,2.1,11.1,-8.12544507187062
2.8,3.4,2.1,11.2,-7.38988689224737
2.8,3.4,2.1,11.3,-6.70965576129598
2.8,3.4,2.1,11.4,-6.07962683195778
2.8,3.4,2.1,11.5,-5.49575138080777
2.8,3.4,2.1,11.6,-4.95478411219868
2.8,3.4,2.1,11.7,-4.45407833234252
