"l1 [mm]","l2 [mm]","l3 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
2.8,3.4,2.05,5,-2.69408814450405
2.8,3.4,2.05,5.1,-2.80636228934455
2.8,3.4,2.05,5.2,-2.92177954231973
2.8,3.4,2.05,5.3,-3.04046358609065
2.8,3.4,2.05,5.4,-3.16254921702059
2.8,3.4,2.05,5.5,-3.28818334628184
2.8,3.4,2.05,5.6,-3.41752611640196
2.8,3.4,2.05,5.7,-3.55075214989186
2.8,3.4,2.05,5.8,-3.68805194936725
2.8,3.4,2.05,5.9,-3.82963347188696
2.8,3.4,2.05,6,-3.97572390421476
2.8,3.4,2.05,6.1,-4.12657167051847
2.8,3.4,2.05,6.2,-4.28244870985037
2.8,3.4,2.05,6.3,-4.44365306785858
2.8,3.4,2.05,6.4,-4.61051185588159
2.8,3.4,2.05,6.5,-4.78338464129478
2.8,3.4,2.05,6.6,-4.96266734624888
2.8,3.4,2.05,6.7,-5.1487967484729
2.8,3.4,2.05,6.8,-5.34225569853822
2.8,3.4,2.05,6.9,-5.54357919413645
2.8,3.4,2.05,7,-5.75336148516291
2.8,3.4,2.05,7.1,-5.97226442596277
2.8,3.4,2.05,7.2,-6.20102734603645
2.8,3.4,2.05,7.3,-6.44047878202122
2.8,3.4,2.05,7.4,-6.69155050771824
2.8,3.4,2.05,7.5,-6.9552944235624
2.8,3.4,2.05,7.6,-7.23290303398298
2.8,3.4,2.05,7.7,-7.52573446754266
2.8,3.4,2.05,7.8,-7.83534330541802
2.8,3.4,2.05,7.9,-8.16351891564071
2.8,3.4,2.05,8,-8.51233359939903
2.8,3.4,2.05,8.1,-8.88420372752094
2.8,3.4,2.05,8.2,-9.28196831480931
2.8,3.4,2.05,8.3,-9.70899136314531
2.8,3.4,2.05,8.4,-10.1692971554121
2.8,3.4,2.05,8.5,-10.6677520973004
2.8,3.4,2.05,8.6,-11.2103137146165
2.8,3.4,2.05,8.7,-11.804378863046
2.8,3.4,2.05,8.8,-12.4592825067994
2.8,3.4,2.05,8.9,-13.1870321411258
2.8,3.4,2.05,9,-14.0034242977471
2.8,3.4,2.05,9.1,-14.9298065881929
2.8,3.4,2.05,9.2,-15.9959841550084
2.8,3.4,2.05,9.3,-17.2452727746554
2.8,3.4,2.05,9.4,-18.7438516513294
2.8,3.4,2.05,9.5,-20.5993703262697
2.8,3.4,2.05,9.6,-23.0006029830879
2.8,3.4,2.05,9.7,-26.2983834209277
2.8,3.4,2.05,9.8,-30.9197961516295
2.8,3.4,2.05,9.9,-32.9603253967741
2.8,3.4,2.05,10,-28.1158870476466
2.8,3.4,2.05,10.1,-23.9424172997505
2.8,3.4,2.05,10.2,-20.9174767497527
2.8,3.4,2.05,10.3,-18.5865724284358
2.8,3.4,2.05,10.4,-16.6945454819737
2.8,3.4,2.05,10.5,-15.1014112688804
2.8,3.4,2.05,10.6,-13.7244445455941
2.8,3.4,2.05,10.7,-12.5113307773918
2.8,3.4,2.05,10.8,-11.4271547420683
2.8,3.4,2.05,10.9,-10.447609201313
2.8,3.4,2.05,11,-9.55520052914217
2.8,3.4,2.05,11.1,-8.73700197847928
2.8,3.4,2.05,11.2,-7.98325603034992
2.8,3.4,2.05,11.3,-7.28646718263613
2.8,3.4,2.05,11.4,-6.64079069018727
2.8,3.4,2.05,11.5,-6.04160674353321
2.8,3.4,2.05,11.6,-5.48521476373573
2.8,3.4,2.05,11.7,-4.96860791613834
2.8,3.4,2.05,11.8,-4.48930281977803
2.8,3.4,2.05,11.9,-4.0452084277737
2.8,3.4,2.05,12,-3.63452364873217
2.8,3.4,2.05,12.1,-3.25565682527773
2.8,3.4,2.05,12.2,-2.90716245267096
2.8,3.4,2.05,12.3,-2.58769196175604
2.8,3.4,2.05,12.4,-2.2959562859355
2.8,3.4,2.05,12.5,-2.03069846379513
2.8,3.4,2.05,12.6,-1.79067482341013
2.8,3.4,2.05,12.7,-1.57464344272499
2.8,3.4,2.05,12.8,-1.38135865051059
2.8,3.4,2.05,12.9,-1.20957037350584
2.8,3.4,2.05,13,-1.0580271806788
2.8,3.4,2.05,13.1,-0.925481944195249
2.8,3.4,2.05,13.2,-0.810699135807328
2.8,3.4,2.05,13.3,-0.712462904914275
2.8,3.4,2.05,13.4,-0.629585232375804
2.8,3.4,2.05,13.5,-0.560913611189531
2.8,3.4,2.05,13.6,-0.505337859979833
2.8,3.4,2.05,13.7,-0.461795818115166
2.8,3.4,2.05,13.8,-0.429277795121203
2.8,3.4,2.05,13.9,-0.406829747901103
2.8,3.4,2.05,14,-0.393555235960994
2.8,3.4,2.05,14.1,-0.388616258483956
2.8,3.4,2.05,14.2,-0.391233110357807
2.8,3.4,2.05,14.3,-0.400683410656132
2.8,3.4,2.05,14.4,-0.416300460374626
2.8,3.4,2.05,14.5,-0.437471080063048
2.8,3.4,2.05,14.6,-0.463633065555129
2.8,3.4,2.05,14.7,-0.494272383928433
2.8,3.4,2.05,14.8,-0.52892021416105
2.8,3.4,2.05,14.9,-0.567149919188879
2.8,3.4,2.05,15,-0.608574019212467
2.8,3.45,2.05,5,-2.90419559442152
2.8,3.45,2.05,5.1,-3.02486414220425
2.8,3.45,2.05,5.2,-3.14891252800392
2.8,3.45,2.05,5.3,-3.27647731759087
2.8,3.45,2.05,5.4,-3.40770740925777
2.8,3.45,2.05,5.5,-3.54276515256903
2.8,3.45,2.05,5.6,-3.6818276007629
2.8,3.45,2.05,5.7,-3.82508791643864
2.8,3.45,2.05,5.8,-3.97275695349591
2.8,3.45,2.05,5.9,-4.12506504230679
2.8,3.45,2.05,6,-4.28226400994977
2.8,3.45,2.05,6.1,-4.44462947322254
