"l1 [mm]","l2 [mm]","l3 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
2.8,3.4,2.2,5,-2.54229656278663
2.8,3.4,2.2,5.1,-2.64818927197965
2.8,3.4,2.2,5.2,-2.75707487277006
2.8,3.4,2.2,5.3,-2.86907697167688
2.8,3.4,2.2,5.4,-2.98433068708263
2.8,3.4,2.2,5.5,-3.10298373223172
2.8,3.4,2.2,5.6,-3.2251976281852
2.8,3.4,2.2,5.7,-3.35114906594861
2.8,3.4,2.2,5.8,-3.48103144026522
2.8,3.4,2.2,5.9,-3.61505658150354
2.8,3.4,2.2,6,-3.75345671681712
2.8,3.4,2.2,6.1,-3.89648669751232
2.8,3.4,2.2,6.2,-4.04442653657084
2.8,3.4,2.2,6.3,-4.19758430885446
2.8,3.4,2.2,6.4,-4.35629947707745
2.8,3.4,2.2,6.5,-4.52094671969222
2.8,3.4,2.2,6.6,-4.6919403530873
2.8,3.4,2.2,6.7,-4.86973946084862
2.8,3.4,2.2,6.8,-5.05485386848555
2.8,3.4,2.2,6.9,-5.24785113458269
2.8,3.4,2.2,7,-5.44936477097014
2.8,3.4,2.2,7.1,-5.66010395816508
2.8,3.4,2.2,7.2,-5.88086509208358
2.8,3.4,2.2,7.3,-6.11254558949808
2.8,3.4,2.2,7.4,-6.35616050085858
2.8,3.4,2.2,7.5,-6.61286264119351
2.8,3.4,2.2,7.6,-6.88396716913835
2.8,3.4,2.2,7.7,-7.17098184450017
2.8,3.4,2.2,7.8,-7.47564461146762
2.8,3.4,2.2,7.9,-7.79997074088356
2.8,3.4,2.2,8,-8.14631260268519
2.8,3.4,2.2,8.1,-8.51743635666357
2.8,3.4,2.2,8.2,-8.91662165063643
2.8,3.4,2.2,8.3,-9.34779313446936
2.8,3.4,2.2,8.4,-9.81569679722235
2.8,3.4,2.2,8.5,-10.3261407810152
2.8,3.4,2.2,8.6,-10.886331141756
2.8,3.4,2.2,8.7,-11.5053511883941
2.8,3.4,2.2,8.8,-12.1948646223113
2.8,3.4,2.2,8.9,-12.9701798981495
2.8,3.4,2.2,9,-13.8519216677317
2.8,3.4,2.2,9.1,-14.8687718651482
2.8,3.4,2.2,9.2,-16.0622027667118
2.8,3.4,2.2,9.3,-17.4951665556399
2.8,3.4,2.2,9.4,-19.2692236396313
2.8,3.4,2.2,9.5,-21.5607634201448
2.8,3.4,2.2,9.6,-24.6963558234131
2.8,3.4,2.2,9.7,-29.1374156877357
2.8,3.4,2.2,9.8,-31.9620382285241
2.8,3.4,2.2,9.9,-27.3884196178356
2.8,3.4,2.2,10,-23.0292367776489
2.8,3.4,2.2,10.1,-19.8712132106952
2.8,3.4,2.2,10.2,-17.4468358294217
2.8,3.4,2.2,10.3,-15.4835781804388
2.8,3.4,2.2,10.4,-13.8329770875608
2.8,3.4,2.2,10.5,-12.4082002868448
2.8,3.4,2.2,10.6,-11.1549151609337
2.8,3.4,2.2,10.7,-10.0372597936633
2.8,3.4,2.2,10.8,-9.03056908322161
2.8,3.4,2.2,10.9,-8.11733014232958
2.8,3.4,2.2,11,-7.2847920684082
2.8,3.4,2.2,11.1,-6.52347641361091
2.8,3.4,2.2,11.2,-5.82620428052432
2.8,3.4,2.2,11.3,-5.18743359872016
2.8,3.4,2.2,11.4,-4.60279072293417
2.8,3.4,2.2,11.5,-4.06872914445524
2.8,3.4,2.2,11.6,-3.58227537810183
2.8,3.4,2.2,11.7,-3.14083784483032
2.8,3.4,2.2,11.8,-2.74206378760653
2.8,3.4,2.2,11.9,-2.38373457836847
2.8,3.4,2.2,12,-2.06369269887102
2.8,3.4,2.2,12.1,-1.77979513734879
2.8,3.4,2.2,12.2,-1.52988856136797
2.8,3.4,2.2,12.3,-1.31180184497077
2.8,3.4,2.2,12.4,-1.12335164772432
2.8,3.4,2.2,12.5,-0.962356949099507
2.8,3.4,2.2,12.6,-0.826658815920017
2.8,3.4,2.2,12.7,-0.714142224889527
2.8,3.4,2.2,12.8,-0.622757425008997
2.8,3.4,2.2,12.9,-0.550539030905732
2.8,3.4,2.2,13,-0.495621713435872
2.8,3.4,2.2,13.1,-0.456251941119661
2.8,3.4,2.2,13.2,-0.430795691676257
2.8,3.4,2.2,13.3,-0.417742387142143
2.8,3.4,2.2,13.4,-0.415705516967837
2.8,3.4,2.2,13.5,-0.423420520600275
2.8,3.4,2.2,13.6,-0.439740528769049
2.8,3.4,2.2,13.7,-0.463630535397993
2.8,3.4,2.2,13.8,-0.494160511117165
2.8,3.4,2.2,13.9,-0.530497891661845
2.8,3.4,2.2,14,-0.571899792251774
2.8,3.4,2.2,14.1,-0.617705220394435
2.8,3.4,2.2,14.2,-0.66732748912472
2.8,3.4,2.2,14.3,-0.720246972659641
2.8,3.4,2.2,14.4,-0.776004297294934
2.8,3.4,2.2,14.5,-0.834194021526566
2.8,3.4,2.2,14.6,-0.894458829704812
2.8,3.4,2.2,14.7,-0.956484241633671
2.8,3.4,2.2,14.8,-1.01999382501009
2.8,3.4,2.2,14.9,-1.08474488713771
2.8,3.4,2.2,15,-1.15052461580518
2.8,3.45,2.2,5,-2.88926510225305
2.8,3.45,2.2,5.1,-3.00776057322568
2.8,3.45,2.2,5.2,-3.12951717852454
2.8,3.45,2.2,5.3,-3.25467299133822
2.8,3.45,2.2,5.4,-3.38337929051556
2.8,3.45,2.2,5.5,-3.51580181641684
2.8,3.45,2.2,5.6,-3.65212218240371
2.8,3.45,2.2,5.7,-3.79253946544919
2.8,3.45,2.2,5.8,-3.93727200349724
2.8,3.45,2.2,5.9,-4.08655943221899
2.8,3.45,2.2,6,-4.24066499990623
2.8,3.45,2.2,6.1,-4.3998782066804
2.8,3.45,2.2,6.2,-4.56451782331592
2.8,3.45,2.2,6.3,-4.7349353562233
2.8,3.45,2.2,6.4,-4.9115190390804
2.8,3.45,2.2,6.5,-5.09469844899254
2.8,3.45,2.2,6.6,-5.28494986689084
2.8,3.45,2.2,6.7,-5.48280252946213
2.8,3.45,2.2,6.8,-5.68884595500778
2.8,3.45,2.2,6.9,-5.90373857064316
2.8,3.45,2.2,7,-6.12821792643992
2.8,3.45,2.2,7.1,-6.36311285798786
2.8,3.45,2.2,7.2,-6.60935805870078
2.8,3.45,2.2,7.3,-6.8680116558899
2.8,3.45,2.2,7.4,-7.14027656286522
2.8,3.45,2.2,7.5,-7.42752662147379
2.8,3.45,2.2,7.6,-7.73133888253268
2.8,3.45,2.2,7.7,-8.05353383583165
2.8,3.45,2.2,7.8,-8.39622605784598
2.8,3.45,2.2,7.9,-8.7618886883739
2.8,3.45,2.2,8,-9.15343652566558
2.8,3.45,2.2,8.1,-9.57433458261506
2.8,3.45,2.2,8.2,-10.0287420689233
2.8,3.45,2.2,8.3,-10.5217066238567
2.8,3.45,2.2,8.4,-11.0594313854417
2.8,3.45,2.2,8.5,-11.6496502399796
2.8,3.45,2.2,8.6,-12.3021682612776
2.8,3.45,2.2,8.7,-13.0296625242475
2.8,3.45,2.2,8.8,-13.8489086367926
2.8,3.45,2.2,8.9,-14.7827336533988
2.8,3.45,2.2,9,-15.8632719083104
2.8,3.45,2.2,9.1,-17.1376993257568
2.8,3.45,2.2,9.2,-18.6790148183406
2.8,3.45,2.2,9.3,-20.6078807880132
2.8,3.45,2.2,9.4,-23.1398439287004
2.8,3.45,2.2,9.5,-26.6763412047986
2.8,3.45,2.2,9.6,-31.478728434546
2.8,3.45,2.2,9.7,-31.6937349922967
2.8,3.45,2.2,9.8,-26.5842665464056
2.8,3.45,2.2,9.9,-22.6550480150468
2.8,3.45,2.2,10,-19.7733809534892
2.8,3.45,2.2,10.1,-17.5209096564403
2.8,3.45,2.2,10.2,-15.6722816802541
