"l1 [mm]","l2 [mm]","l3 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
2.8,3.4,2.3,5,-2.54045514303559
2.8,3.4,2.3,5.1,-2.64561738949741
2.8,3.4,2.3,5.2,-2.75374350754294
2.8,3.4,2.3,5.3,-2.86496113055685
2.8,3.4,2.3,5.4,-2.97941022912477
2.8,3.4,2.3,5.5,-3.09724432712023
2.8,3.4,2.3,5.6,-3.21863186906022
2.8,3.4,2.3,5.7,-3.34375776170295
2.8,3.4,2.3,5.8,-3.472825116949
2.8,3.4,2.3,5.9,-3.60605722804164
2.8,3.4,2.3,6,-3.74369981704644
2.8,3.4,2.3,6.1,-3.88602359888328
2.8,3.4,2.3,6.2,-4.03332721611544
2.8,3.4,2.3,6.3,-4.18594060969672
2.8,3.4,2.3,6.4,-4.34422890449332
2.8,3.4,2.3,6.5,-4.50859690535297
2.8,3.4,2.3,6.6,-4.6794943207454
2.8,3.4,2.3,6.7,-4.85742185780656
2.8,3.4,2.3,6.8,-5.04293836667925
2.8,3.4,2.3,6.9,-5.23666925563854
2.8,3.4,2.3,7,-5.43931645474017
2.8,3.4,2.3,7.1,-5.65167027892393
2.8,3.4,2.3,7.2,-5.87462363761894
2.8,3.4,2.3,7.3,-6.10918916534662
2.8,3.4,2.3,7.4,-6.35652001859431
2.8,3.4,2.3,7.5,-6.61793531566384
2.8,3.4,2.3,7.6,-6.89495151366532
2.8,3.4,2.3,7.7,-7.18932145808692
2.8,3.4,2.3,7.8,-7.50308346252681
2.8,3.4,2.3,7.9,-7.83862366715316
2.8,3.4,2.3,8,-8.19875622230602
2.8,3.4,2.3,8.1,-8.58682776980185
2.8,3.4,2.3,8.2,-9.00685561251773
2.8,3.4,2.3,8.3,-9.46371348529635
2.8,3.4,2.3,8.4,-9.96338602917189
2.8,3.4,2.3,8.5,-10.5133248271164
2.8,3.4,2.3,8.6,-11.1229587077633
2.8,3.4,2.3,8.7,-11.804445766408
2.8,3.4,2.3,8.8,-12.5738179217526
2.8,3.4,2.3,8.9,-13.4527899830727
2.8,3.4,2.3,9,-14.4717496943521
2.8,3.4,2.3,9.1,-15.674969854383
2.8,3.4,2.3,9.2,-17.1302876699202
2.8,3.4,2.3,9.3,-18.9484373910695
2.8,3.4,2.3,9.4,-21.3243809756176
2.8,3.4,2.3,9.5,-24.6206806867808
2.8,3.4,2.3,9.6,-29.2380831839175
2.8,3.4,2.3,9.7,-30.8038193883775
2.8,3.4,2.3,9.8,-25.804865426356
2.8,3.4,2.3,9.9,-21.6374123008778
2.8,3.4,2.3,10,-18.594916373686
2.8,3.4,2.3,10.1,-16.2317064129382
