"l1 [mm]","l2 [mm]","l3 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
2.8,3.4,2.45,5,-2.49463925497922
2.8,3.4,2.45,5.1,-2.59649255435516
2.8,3.4,2.45,5.2,-2.70115308046755
2.8,3.4,2.45,5.3,-2.80874708470873
2.8,3.4,2.45,5.4,-2.91941380134509
2.8,3.4,2.45,5.5,-3.03330678556836
2.8,3.4,2.45,5.6,-3.15059542766077
2.8,3.4,2.45,5.7,-3.27146667127423
2.8,3.4,2.45,5.8,-3.39612696898756
2.8,3.4,2.45,5.9,-3.52480451458861
2.8,3.4,2.45,6,-3.65775179920594
2.8,3.4,2.45,6.1,-3.79524854784449
2.8,3.4,2.45,6.2,-3.93760510451949
2.8,3.4,2.45,6.3,-4.08516634862902
2.8,3.4,2.45,6.4,-4.23831624324121
2.8,3.4,2.45,6.5,-4.39748313862406
2.8,3.4,2.45,6.6,-4.56314598298694
2.8,3.4,2.45,6.7,-4.73584162886728
2.8,3.4,2.45,6.8,-4.91617347036861
2.8,3.4,2.45,6.9,-5.10482170693165
2.8,3.4,2.45,7,-5.30255560817949
2.8,3.4,2.45,7.1,-5.51024825815416
2.8,3.4,2.45,7.2,-5.72889439517643
2.8,3.4,2.45,7.3,-5.95963214878548
2.8,3.4,2.45,7.4,-6.20376972683946
2.8,3.4,2.45,7.5,-6.46281845192013
2.8,3.4,2.45,7.6,-6.73853402854986
2.8,3.4,2.45,7.7,-7.03296860493854
2.8,3.4,2.45,7.8,-7.34853717329016
2.8,3.4,2.45,7.9,-7.68810328611298
2.8,3.4,2.45,8,-8.05509120241728
2.8,3.4,2.45,8.1,-8.45363482995682
2.8,3.4,2.45,8.2,-8.88877889793929
2.8,3.4,2.45,8.3,-9.36675590192151
2.8,3.4,2.45,8.4,-9.89537571636975
2.8,3.4,2.45,8.5,-10.4845875036118
2.8,3.4,2.45,8.6,-11.1473137243248
2.8,3.4,2.45,8.7,-11.9007301553852
2.8,3.4,2.45,8.8,-12.768309344754
2.8,3.4,2.45,8.9,-13.7832389671382
2.8,3.4,2.45,9,-14.9944685118094
2.8,3.4,2.45,9.1,-16.4781389788805
2.8,3.4,2.45,9.2,-18.3608717935455
2.8,3.4,2.45,9.3,-20.8702146608008
2.8,3.4,2.45,9.4,-24.4270029385533
2.8,3.4,2.45,9.5,-29.1466736780446
2.8,3.4,2.45,9.6,-28.4718602824661
2.8,3.4,2.45,9.7,-23.2939882012977
2.8,3.4,2.45,9.8,-19.3887075701698
2.8,3.4,2.45,9.9,-16.488227895292
2.8,3.4,2.45,10,-14.1960826340856
2.8,3.4,2.45,10.1,-12.3008049101968
2.8,3.4,2.45,10.2,-10.685477727444
2.8,3.4,2.45,10.3,-9.28085869870364
2.8,3.4,2.45,10.4,-8.04363253191297
2.8,3.4,2.45,10.5,-6.94559569188731
2.8,3.4,2.45,10.6,-5.96781001606799
2.8,3.4,2.45,10.7,-5.09717974224118
2.8,3.4,2.45,10.8,-4.32429633785914
2.8,3.4,2.45,10.9,-3.64199909040996
2.8,3.4,2.45,11,-3.04438032717984
2.8,3.4,2.45,11.1,-2.52610045117606
2.8,3.4,2.45,11.2,-2.08194259634632
2.8,3.4,2.45,11.3,-1.70656290327673
2.8,3.4,2.45,11.4,-1.39439850100369
2.8,3.4,2.45,11.5,-1.1396933092358
2.8,3.4,2.45,11.6,-0.936599790108096
2.8,3.4,2.45,11.7,-0.779316955239909
2.8,3.4,2.45,11.8,-0.662231902000338
2.8,3.4,2.45,11.9,-0.580042152842193
2.8,3.4,2.45,12,-0.527846531147704
2.8,3.4,2.45,12.1,-0.501201120177716
2.8,3.4,2.45,12.2,-0.496142959517892
2.8,3.4,2.45,12.3,-0.509187470191303
2.8,3.4,2.45,12.4,-0.537306715366134
2.8,3.4,2.45,12.5,-0.57789525969674
2.8,3.4,2.45,12.6,-0.628729284059301
2.8,3.4,2.45,12.7,-0.687923254236489
2.8,3.4,2.45,12.8,-0.753887142159588
2.8,3.4,2.45,12.9,-0.825286107033465
