"l1 [mm]","l2 [mm]","l3 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
2.8,3.4,2.15,5,-2.67758247886747
2.8,3.4,2.15,5.1,-2.78856719740884
2.8,3.4,2.15,5.2,-2.90264937203005
2.8,3.4,2.15,5.3,-3.019955755731
2.8,3.4,2.15,5.4,-3.14062488449553
2.8,3.4,2.15,5.5,-3.2648081712628
2.8,3.4,2.15,5.6,-3.39267113095976
2.8,3.4,2.15,5.7,-3.52439475595043
2.8,3.4,2.15,5.8,-3.66017706455185
2.8,3.4,2.15,5.9,-3.80023484922657
2.8,3.4,2.15,6,-3.94480565584176
2.8,3.4,2.15,6.1,-4.09415003118215
2.8,3.4,2.15,6.2,-4.24855408296704
2.8,3.4,2.15,6.3,-4.40833240527011
2.8,3.4,2.15,6.4,-4.57383143288766
2.8,3.4,2.15,6.5,-4.74543330137874
2.8,3.4,2.15,6.6,-4.92356030591026
2.8,3.4,2.15,6.7,-5.10868007260002
2.8,3.4,2.15,6.8,-5.30131158198075
2.8,3.4,2.15,6.9,-5.50203221714494
2.8,3.4,2.15,7,-5.71148605127461
2.8,3.4,2.15,7.1,-5.93039364362191
2.8,3.4,2.15,7.2,-6.15956368371989
2.8,3.4,2.15,7.3,-6.39990691642416
2.8,3.4,2.15,7.4,-6.65245290341461
2.8,3.4,2.15,7.5,-6.9183703415545
2.8,3.4,2.15,7.6,-7.19899188165809
2.8,3.4,2.15,7.7,-7.49584469710879
2.8,3.4,2.15,7.8,-7.81068847658127
2.8,3.4,2.15,7.9,-8.14556311348483
2.8,3.4,2.15,8,-8.50284922064181
2.8,3.4,2.15,8.1,-8.88534584373667
2.8,3.4,2.15,8.2,-9.29637159183579
2.8,3.4,2.15,8.3,-9.73989819275792
2.8,3.4,2.15,8.4,-10.2207297949259
2.8,3.4,2.15,8.5,-10.7447481774331
2.8,3.4,2.15,8.6,-11.3192551833144
2.8,3.4,2.15,8.7,-11.9534624582886
2.8,3.4,2.15,8.8,-12.6592113010144
2.8,3.4,2.15,8.9,-13.4520648509864
2.8,3.4,2.15,9,-14.3530278597331
2.8,3.4,2.15,9.1,-15.3913760059248
2.8,3.4,2.15,9.2,-16.6095599158038
2.8,3.4,2.15,9.3,-18.0722500219776
2.8,3.4,2.15,9.4,-19.8842622144658
2.8,3.4,2.15,9.5,-22.2286657491451
2.8,3.4,2.15,9.6,-25.4456037105102
2.8,3.4,2.15,9.7,-29.9860929421965
2.8,3.4,2.15,9.8,-32.4149494916395
2.8,3.4,2.15,9.9,-27.6596077515663
2.8,3.4,2.15,10,-23.3880664166342
2.8,3.4,2.15,10.1,-20.293239899395
2.8,3.4,2.15,10.2,-17.9114246434851
2.8,3.4,2.15,10.3,-15.9789480309704
2.8,3.4,2.15,10.4,-14.3517955913517
2.8,3.4,2.15,10.5,-12.9453283519535
2.8,3.4,2.15,10.6,-11.706321509767
2.8,3.4,2.15,10.7,-10.5994660769862
2.8,3.4,2.15,10.8,-9.60034870317206
2.8,3.4,2.15,10.9,-8.69153937843327
2.8,3.4,2.15,11,-7.86027732218492
2.8,3.4,2.15,11.1,-7.09703007890165
2.8,3.4,2.15,11.2,-6.39455492370462
2.8,3.4,2.15,11.3,-5.74726223644183
2.8,3.4,2.15,11.4,-5.15076762772635
2.8,3.4,2.15,11.5,-4.60156647774051
2.8,3.4,2.15,11.6,-4.09679093658684
2.8,3.4,2.15,11.7,-3.63402485555929
2.8,3.4,2.15,11.8,-3.211161374789
2.8,3.4,2.15,11.9,-2.82629351137865
2.8,3.4,2.15,12,-2.4776314650949
2.8,3.4,2.15,12.1,-2.16344229873082
2.8,3.4,2.15,12.2,-1.88200867024946
2.8,3.4,2.15,12.3,-1.63160374596119
2.8,3.4,2.15,12.4,-1.41047956535174
2.8,3.4,2.15,12.5,-1.21686614785245
2.8,3.4,2.15,12.6,-1.04897866034622
2.8,3.4,2.15,12.7,-0.905030077857279
2.8,3.4,2.15,12.8,-0.783246997081723
2.8,3.4,2.15,12.9,-0.681886593999877
2.8,3.4,2.15,13,-0.599253119448357
2.8,3.4,2.15,13.1,-0.533712756627564
2.8,3.4,2.15,13.2,-0.483706079873272
2.8,3.4,2.15,13.3,-0.447757721566416
2.8,3.4,2.15,13.4,-0.424483153372826
2.8,3.4,2.15,13.5,-0.41259271125803
2.8,3.4,2.15,13.6,-0.410893143309878
2.8,3.4,2.15,13.7,-0.418287044604796
2.8,3.4,2.15,13.8,-0.43377057700131
2.8,3.4,2.15,13.9,-0.4564298675068
2.8,3.4,2.15,14,-0.485436449387296
2.8,3.4,2.15,14.1,-0.520042066076471
2.8,3.4,2.15,14.2,-0.559573107359998
2.8,3.4,2.15,14.3,-0.603424896080101
2.8,3.4,2.15,14.4,-0.651055995499763
2.8,3.4,2.15,14.5,-0.701982664641388
2.8,3.4,2.15,14.6,-0.755773552340616
2.8,3.4,2.15,14.7,-0.81204469058035
2.8,3.4,2.15,14.8,-0.870454823533634
2.8,3.4,2.15,14.9,-0.930701090002896
2.8,3.4,2.15,15,-0.992515062829894
2.8,3.45,2.15,5,-2.97615342271652
2.8,3.45,2.15,5.1,-3.09810910381868
2.8,3.45,2.15,5.2,-3.22340501657645
2.8,3.45,2.15,5.3,-3.35218108268389
2.8,3.45,2.15,5.4,-3.48459048892612
2.8,3.45,2.15,5.5,-3.62080092334733
2.8,3.45,2.15,5.6,-3.76099596392746
2.8,3.45,2.15,5.7,-3.90537664282885
2.8,3.45,2.15,5.8,-4.05416321330472
2.8,3.45,2.15,5.9,-4.20759715123019
2.8,3.45,2.15,6,-4.36594342912917
2.8,3.45,2.15,6.1,-4.52949310778001
2.8,3.45,2.15,6.2,-4.69856629932211
2.8,3.45,2.15,6.3,-4.8735155666776
2.8,3.45,2.15,6.4,-5.05472983759934
2.8,3.45,2.15,6.5,-5.2426389284823
2.8,3.45,2.15,6.6,-5.43771879418113
2.8,3.45,2.15,6.7,-5.64049764672811
2.8,3.45,2.15,6.8,-5.85156311973879
2.8,3.45,2.15,6.9,-6.07157069871987
2.8,3.45,2.15,7,-6.30125369358249
2.8,3.45,2.15,7.1,-6.54143510272915
2.8,3.45,2.15,7.2,-6.79304181413123
2.8,3.45,2.15,7.3,-7.05712171631753
2.8,3.45,2.15,7.4,-7.33486446323623
2.8,3.45,2.15,7.5,-7.62762686900438
2.8,3.45,2.15,7.6,-7.93696422723356
2.8,3.45,2.15,7.7,-8.26466929305899
2.8,3.45,2.15,7.8,-8.61282129192114
2.8,3.45,2.15,7.9,-8.98384821651177
2.8,3.45,2.15,8,-9.38060698188224
2.8,3.45,2.15,8.1,-9.80648795292794
2.8,3.45,2.15,8.2,-10.2655533071297
2.8,3.45,2.15,8.3,-10.7627232706177
2.8,3.45,2.15,8.4,-11.3040315470734
2.8,3.45,2.15,8.5,-11.8969831817177
2.8,3.45,2.15,8.6,-12.5510682605263
2.8,3.45,2.15,8.7,-13.2785201865045
2.8,3.45,2.15,8.8,-14.0954718582878
2.8,3.45,2.15,8.9,-15.0237868383199
2.8,3.45,2.15,9,-16.0940930735642
2.8,3.45,2.15,9.1,-17.3510862645953
2.8,3.45,2.15,9.2,-18.863414888366
2.8,3.45,2.15,9.3,-20.7435247969437
2.8,3.45,2.15,9.4,-23.1904225792117
2.8,3.45,2.15,9.5,-26.5772324542527
2.8,3.45,2.15,9.6,-31.3159731050317
2.8,3.45,2.15,9.7,-32.7740591522739
2.8,3.45,2.15,9.8,-27.7252475504919
2.8,3.45,2.15,9.9,-23.6167294062316
2.8,3.45,2.15,10,-20.6334730498853
2.8,3.45,2.15,10.1,-18.3234424794043
2.8,3.45,2.15,10.2,-16.4402502136216
2.8,3.45,2.15,10.3,-14.8487380767435
2.8,3.45,2.15,10.4,-13.4688230139657
2.8,3.45,2.15,10.5,-12.2497515599248
2.8,3.45,2.15,10.6,-11.1576143808663
2.8,3.45,2.15,10.7,-10.1688111845811
2.8,3.45,2.15,10.8,-9.2663880146921
2.8,3.45,2.15,10.9,-8.43786145602267
2.8,3.45,2.15,11,-7.67386029848949
2.8,3.45,2.15,11.1,-6.9672399981304
2.8,3.45,2.15,11.2,-6.31248254491072
2.8,3.45,2.15,11.3,-5.70527505551154
