"l1 [mm]","l2 [mm]","l3 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
2.8,3.4,2.25,5,-2.60075528351065
2.8,3.4,2.25,5.1,-2.70810204168522
2.8,3.4,2.25,5.2,-2.81843710663223
2.8,3.4,2.25,5.3,-2.93188606855847
2.8,3.4,2.25,5.4,-3.04858648477701
2.8,3.4,2.25,5.5,-3.16868902895943
2.8,3.4,2.25,5.6,-3.29235878201868
2.8,3.4,2.25,5.7,-3.41977668572062
2.8,3.4,2.25,5.8,-3.55114118379246
2.8,3.4,2.25,5.9,-3.68667007972139
2.8,3.4,2.25,6,-3.82660264579632
2.8,3.4,2.25,6.1,-3.97120202446428
2.8,3.4,2.25,6.2,-4.12075797103908
2.8,3.4,2.25,6.3,-4.27558999658517
2.8,3.4,2.25,6.4,-4.43605098188151
2.8,3.4,2.25,6.5,-4.60253134837362
2.8,3.4,2.25,6.6,-4.77546389076707
2.8,3.4,2.25,6.7,-4.95532939948114
2.8,3.4,2.25,6.8,-5.14266323101475
2.8,3.4,2.25,6.9,-5.33806302231389
2.8,3.4,2.25,7,-5.54219779410428
2.8,3.4,2.25,7.1,-5.75581875147027
2.8,3.4,2.25,7.2,-5.97977217271208
2.8,3.4,2.25,7.3,-6.21501488668411
2.8,3.4,2.25,7.4,-6.46263298430376
2.8,3.4,2.25,7.5,-6.72386460591286
2.8,3.4,2.25,7.6,-7.00012791331148
2.8,3.4,2.25,7.7,-7.29305572401165
2.8,3.4,2.25,7.8,-7.60453880121818
2.8,3.4,2.25,7.9,-7.93678052582908
2.8,3.4,2.25,8,-8.2923667344793
2.8,3.4,2.25,8.1,-8.67435606174445
2.8,3.4,2.25,8.2,-9.08639845295803
2.8,3.4,2.25,8.3,-9.53289307831499
2.8,3.4,2.25,8.4,-10.0192024669404
2.8,3.4,2.25,8.5,-10.5519486771059
2.8,3.4,2.25,8.6,-11.1394322457175
2.8,3.4,2.25,8.7,-11.7922402740137
2.8,3.4,2.25,8.8,-12.5241556752435
2.8,3.4,2.25,8.9,-13.3535646788736
2.8,3.4,2.25,9,-14.3057262970203
2.8,3.4,2.25,9.1,-15.4166130494707
2.8,3.4,2.25,9.2,-16.7397968419939
2.8,3.4,2.25,9.3,-18.3596633120404
2.8,3.4,2.25,9.4,-20.4187234271352
2.8,3.4,2.25,9.5,-23.1765230126521
2.8,3.4,2.25,9.6,-27.0925347319826
2.8,3.4,2.25,9.7,-31.6056868045277
2.8,3.4,2.25,9.8,-29.1016171938375
2.8,3.4,2.25,9.9,-24.2130849114595
2.8,3.4,2.25,10,-20.6511733695977
